"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"TcCLB.397937.10"	0	3585	0	1647	0
"TcCLB.397937.5"	0	3584	0	1646	0
"TcCLB.398099.10"	0	2417	0	485	0
"TcCLB.398235.10"	0	6637	0	4702	0
"TcCLB.398235.20"	0	6636	0	4701	0
"TcCLB.398343.9"	0	4240	0	2303	0
"TcCLB.398345.10"	0	7639	0	5704	0
"TcCLB.398477.10"	0	2416	1	484	1
"TcCLB.398751.10"	0	5990	0	4055	0
"TcCLB.398915.5"	0	2416	1	484	1
"TcCLB.399033.10"	0	4184	0	2246	0
"TcCLB.399033.19"	0	4183	0	2245	0
"TcCLB.399997.10"	0	2549	0	617	0
"TcCLB.400945.10"	0	2416	1	484	1
"TcCLB.401041.10"	0	2549	0	617	0
"TcCLB.401469.10"	0	6203	0	4268	0
"TcCLB.401469.20"	0	6202	0	4267	0
"TcCLB.401473.9"	0	4268	0	2331	0
"TcCLB.401569.10"	0	2607	1	675	1
"TcCLB.401661.10"	0	2416	1	484	1
"TcCLB.402375.10"	0	3917	0	1978	0
"TcCLB.402449.10"	0	53141	0	6780	0
"TcCLB.402647.9"	0	4487	0	2550	0
"TcCLB.402857.10"	0	7477	0	5542	0
"TcCLB.402857.20"	0	54118	0	7757	0
"TcCLB.403153.10"	0	5283	0	3347	0
"TcCLB.403153.20"	0	6338	0	4403	0
"TcCLB.403789.9"	0	4268	0	2331	0
"TcCLB.403875.10"	0	4073	0	2134	0
"TcCLB.403875.19"	0	4072	0	2133	0
"TcCLB.403985.10"	0	2549	0	617	0
"TcCLB.404001.10"	0	4968	0	3032	0
"TcCLB.404001.20"	0	4967	0	3031	0
"TcCLB.404001.4"	0	4969	0	3033	0
"TcCLB.404073.10"	0	8214	0	6278	0
"TcCLB.404073.20"	0	8215	0	6279	0
"TcCLB.404431.10"	0	2416	1	484	1
"TcCLB.404711.10"	0	2416	1	484	1
"TcCLB.404843.10"	0	3796	0	1857	0
"TcCLB.404843.20"	0	3795	0	1856	0
"TcCLB.404845.10"	0	2416	1	484	1
"TcCLB.404975.30"	0	2416	1	484	1
"TcCLB.405165.10"	0	2674	0	741	0
"TcCLB.405165.19"	0	2675	0	742	0
"TcCLB.405179.10"	0	5035	0	3099	0
"TcCLB.405453.9"	0	2417	0	485	0
"TcCLB.405737.14"	0	3144	0	1210	0
"TcCLB.405737.24"	0	53121	0	6760	0
"TcCLB.405737.4"	0	3145	0	1211	0
"TcCLB.406377.10"	0	7193	0	5259	0
"TcCLB.406933.10"	0	2549	0	617	0
"TcCLB.406999.10"	0	2417	0	485	0
"TcCLB.407335.18"	0	7247	0	5313	0
"TcCLB.407335.9"	0	7246	0	5312	0
"TcCLB.407477.10"	0	1884	0	245	0
"TcCLB.407477.20"	0	5232	0	3296	0
"TcCLB.407477.30"	0	1727	0	144	0
"TcCLB.407477.40"	0	5233	0	3297	0
"TcCLB.407477.44"	0	5234	0	3298	0
"TcCLB.407477.50"	0	1556	0	46	0
"TcCLB.407477.60"	0	5235	0	3299	0
"TcCLB.407477.69"	0	5236	0	3300	0
"TcCLB.408345.10"	0	7081	0	5147	0
"TcCLB.408345.20"	0	7082	0	5148	0
"TcCLB.408437.10"	0	4203	0	2265	0
"TcCLB.408437.20"	0	4204	0	2266	0
"TcCLB.408437.29"	0	4205	0	2267	0
"TcCLB.408547.10"	0	3104	0	1171	0
"TcCLB.408547.5"	0	2960	1	1027	1
"TcCLB.408573.5"	0	4200	0	2262	0
"TcCLB.408573.9"	0	4201	0	2263	0
"TcCLB.408799.10"	0	7194	0	5260	0
"TcCLB.408799.19"	0	1669	0	112	0
"TcCLB.408825.10"	0	1821	0	202	0
"TcCLB.408825.5"	0	3419	1	1482	1
"TcCLB.409101.9"	0	5801	0	3866	0
"TcCLB.409117.10"	0	5010	0	3074	0
"TcCLB.409117.20"	0	2134	0	433	0
"TcCLB.409139.9"	0	2416	1	484	1
"TcCLB.409407.10"	0	2416	1	484	1
"TcCLB.410049.10"	0	4820	0	2884	0
"TcCLB.410049.20"	0	4819	0	2883	0
"TcCLB.410199.10"	0	53470	0	7109	0
"TcCLB.410199.20"	0	6612	0	4677	0
"TcCLB.410199.30"	0	2416	1	484	1
"TcCLB.410199.4"	0	1915	0	266	0
"TcCLB.410199.40"	0	53469	0	7108	0
"TcCLB.410199.50"	0	53468	0	7107	0
"TcCLB.410199.7"	0	53471	0	7110	0
"TcCLB.410243.10"	0	5897	0	3962	0
"TcCLB.410337.10"	0	2416	1	484	1
"TcCLB.410589.10"	0	6120	0	4185	0
"TcCLB.410589.19"	0	54741	0	8380	0
"TcCLB.410797.10"	0	3516	0	1578	0
"TcCLB.410923.20"	0	2549	0	617	0
"TcCLB.410923.30"	0	53405	0	7044	0
"TcCLB.410923.40"	0	2416	1	484	1
"TcCLB.410943.10"	0	6791	0	4855	0
"TcCLB.410961.10"	0	2402	0	470	0
"TcCLB.411059.18"	0	6879	0	4943	0
"TcCLB.411337.10"	0	2549	0	617	0
"TcCLB.411427.10"	0	2403	0	471	0
"TcCLB.411427.30"	0	2405	0	473	0
"TcCLB.411427.40"	0	2406	0	474	0
"TcCLB.411427.49"	0	2407	0	475	0
"TcCLB.411915.10"	0	2553	0	621	0
"TcCLB.412093.10"	1	5858	1	3923	1
"TcCLB.412393.10"	0	2416	1	484	1
"TcCLB.412435.10"	0	2758	0	825	0
"TcCLB.412943.9"	0	6610	0	4675	0
"TcCLB.413605.10"	0	2847	0	914	0
"TcCLB.413859.10"	0	53240	0	6879	0
"TcCLB.413893.10"	0	53992	0	7631	0
"TcCLB.413977.10"	0	4084	0	2145	0
"TcCLB.414145.9"	0	3188	0	1254	0
"TcCLB.414243.10"	0	2572	0	640	0
"TcCLB.414243.20"	0	53029	0	6668	0
"TcCLB.414243.29"	0	2573	0	641	0
"TcCLB.414517.9"	0	3801	0	1862	0
"TcCLB.415331.10"	0	3543	0	1605	0
"TcCLB.415789.9"	0	2417	0	485	0
"TcCLB.415803.10"	0	6305	0	4370	0
"TcCLB.416041.14"	0	2416	1	484	1
"TcCLB.416041.24"	0	2549	0	617	0
"TcCLB.416143.10"	0	5753	0	3818	0
"TcCLB.416503.10"	0	2416	1	484	1
"TcCLB.416511.9"	0	8202	0	6266	0
"TcCLB.416761.10"	0	3516	0	1578	0
"TcCLB.416883.18"	0	2128	0	427	0
"TcCLB.416883.9"	0	2540	0	608	0
"TcCLB.416891.19"	0	8053	0	6118	0
"TcCLB.416891.9"	0	8052	0	6117	0
"TcCLB.417091.10"	0	8258	0	6322	0
"TcCLB.417203.9"	0	2417	0	485	0
"TcCLB.417797.9"	0	2512	0	580	0
"TcCLB.417939.9"	0	2417	0	485	0
"TcCLB.417993.10"	0	2417	0	485	0
"TcCLB.418069.10"	0	1833	0	211	0
"TcCLB.418405.10"	0	3100	1	1167	1
"TcCLB.418405.20"	0	2960	1	1027	1
"TcCLB.418405.30"	0	2416	1	484	1
"TcCLB.418613.20"	0	3100	1	1167	1
"TcCLB.419043.10"	0	2794	0	861	0
"TcCLB.419207.9"	0	2417	0	485	0
"TcCLB.419417.10"	0	3579	0	1641	0
"TcCLB.419417.19"	0	3580	0	1642	0
"TcCLB.419417.4"	0	1647	0	104	0
"TcCLB.419469.14"	0	2004	0	328	0
"TcCLB.419469.30"	0	7174	0	5240	0
"TcCLB.419637.9"	0	2417	0	485	0
"TcCLB.419703.10"	0	54521	0	8160	0
"TcCLB.419703.20"	0	4479	0	2542	0
"TcCLB.419833.10"	0	3489	0	1551	0
"TcCLB.420091.10"	0	2417	0	485	0
"TcCLB.420293.20"	0	2416	1	484	1
"TcCLB.420293.31"	0	52987	0	6626	0
"TcCLB.420293.40"	0	2689	0	756	0
"TcCLB.420293.50"	0	52986	0	6625	0
"TcCLB.420369.20"	0	2416	1	484	1
"TcCLB.420369.40"	0	4328	0	2391	0
"TcCLB.420495.10"	0	3975	0	2036	0
