"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"NP_045385.1"	0	1	0	1	0
"NP_045388.1"	0	1317	0	14	0
"NP_045393.1"	0	9124	0	595	0
"NP_045394.1"	0	9145	0	616	0
"NP_045397.1"	0	9166	0	637	0
"NP_045398.1"	1	9220	1	691	1
"NP_045399.2"	0	9329	0	800	0
"NP_045402.1"	0	9436	0	907	0
"NP_045404.1"	0	9547	0	1018	0
"NP_045405.1"	0	8595	0	66	0
"NP_045406.1"	0	8703	0	174	0
"NP_045416.1"	1	102	1	7	1
"NP_045423.1"	0	8920	0	391	0
"NP_045424.2"	1	9017	1	488	1
"NP_045425.1"	0	9026	0	497	0
"NP_045426.1"	0	9037	0	508	0
"NP_045427.1"	0	9048	0	519	0
"NP_045428.1"	0	9059	0	530	0
"NP_045429.2"	0	9070	0	541	0
"NP_045436.1"	1	9081	1	552	1
"NP_045438.1"	0	1340	0	15	0
"NP_045439.1"	1	9100	1	571	1
"NP_045442.1"	0	1317	0	14	0
"NP_045444.1"	0	9114	0	585	0
"NP_045449.2"	0	9115	0	586	0
"NP_045453.2"	0	9116	0	587	0
"NP_045456.1"	0	9120	0	591	0
"NP_045457.1"	0	9121	0	592	0
"NP_045458.1"	0	9122	0	593	0
"NP_045459.1"	0	9125	0	596	0
"NP_045463.1"	0	1786	0	58	0
"NP_045464.1"	0	9129	0	600	0
"NP_045467.1"	0	9130	0	601	0
"NP_045468.1"	0	9131	0	602	0
"NP_045469.1"	0	9135	0	606	0
"NP_045472.1"	0	9137	0	608	0
"NP_045473.2"	0	9138	0	609	0
"NP_045474.1"	0	9139	0	610	0
"NP_045475.2"	0	9142	0	613	0
"NP_045476.1"	0	9146	0	617	0
"NP_045477.1"	0	9148	0	619	0
"NP_045478.1"	1	9150	1	621	1
"NP_045479.1"	0	9154	0	625	0
"NP_045480.1"	0	9158	0	629	0
"NP_045481.1"	0	9159	0	630	0
"NP_045482.1"	1	9160	1	631	1
"NP_045483.1"	1	9163	1	634	1
"NP_045484.2"	0	9164	0	635	0
"NP_045485.1"	0	9165	0	636	0
"NP_045486.1"	0	9167	0	638	0
"NP_045487.1"	0	9173	0	644	0
"NP_045488.1"	0	9178	0	649	0
"NP_045489.1"	0	9184	0	655	0
"NP_045490.2"	0	9185	0	656	0
"NP_045491.2"	0	9188	0	659	0
"NP_045492.1"	1	9191	1	662	1
"NP_045493.1"	1	1689	1	55	1
"NP_045494.1"	0	1340	0	15	0
"NP_045496.1"	0	1	0	1	0
"NP_045498.1"	0	9221	0	692	0
"NP_045499.1"	0	1317	0	14	0
"NP_045500.1"	1	9242	1	713	1
"NP_045502.1"	0	9253	0	724	0
"NP_045506.1"	1	9264	1	735	1
"NP_045510.1"	0	9275	0	746	0
"NP_045516.1"	0	9286	0	757	0
"NP_045517.1"	0	25	1	3	1
"NP_045518.1"	0	9307	0	778	0
"NP_045519.1"	0	9318	0	789	0
"NP_045520.1"	0	9330	0	801	0
"NP_045522.1"	1	9341	1	812	1
"NP_045523.1"	0	2	0	2	0
"NP_045527.1"	0	9362	0	833	0
"NP_045530.1"	0	8556	0	65	0
"NP_045531.1"	0	9383	0	854	0
"NP_045532.1"	0	3106	0	62	0
"NP_045533.1"	0	3191	0	63	0
"NP_045537.1"	0	9414	0	885	0
"NP_045543.1"	0	9425	0	896	0
"NP_045546.1"	0	9437	0	908	0
"NP_045547.1"	0	9448	0	919	0
"NP_045549.1"	0	9459	0	930	0
"NP_045550.2"	0	9470	0	941	0
"NP_045551.1"	0	9481	0	952	0
"NP_045552.1"	0	9492	0	963	0
"NP_045553.1"	0	9503	0	974	0
"NP_045557.1"	0	9514	0	985	0
"NP_045560.1"	0	9525	0	996	0
"NP_045565.1"	0	9536	0	1007	0
"NP_045567.1"	1	145	1	13	1
"NP_045569.1"	1	145	1	13	1
