"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"D0Z6P5"	0	18384	0	4020	0
"D0Z6P6"	0	82	0	78	0
"D0Z6P7"	0	18379	0	4015	0
"D0Z6Q1"	0	38	0	35	0
"D0Z6Q2"	0	66	0	62	0
"D0Z6Q3"	0	18363	0	3999	0
"D0Z6Q4"	0	83	0	79	0
"D0Z6Q5"	0	18382	0	4018	0
"D0Z6Q8"	0	18340	0	3976	0
"D0Z6R2"	0	18380	0	4016	0
"D0Z6R4"	0	18376	0	4012	0
"D0Z6R5"	0	18383	0	4019	0
"D0Z6R7"	0	18358	0	3994	0
"D0Z6R8"	0	18346	0	3982	0
"D0Z6R9"	0	18367	0	4003	0
"D0Z6S1"	0	18352	0	3988	0
"D0Z6S2"	0	18365	0	4001	0
"D0Z6S3"	0	72	0	68	0
"D0Z6S7"	0	72	0	68	0
"D0Z6S9"	0	18387	0	4023	0
"D0Z6T0"	0	74	0	70	0
"D0Z6T1"	1	15552	1	1188	1
"D0Z6T3"	0	18359	0	3995	0
"D0Z6T8"	0	80	0	76	0
"D0Z6T9"	0	79	0	75	0
"D0Z6U0"	0	39	0	36	0
"D0Z6U1"	1	18355	1	3991	1
"D0Z6U9"	0	18354	0	3990	0
"D0Z6V0"	0	18375	0	4011	0
"D0Z6V1"	0	18343	0	3979	0
"D0Z6V2"	0	18342	0	3978	0
"D0Z6V3"	0	18386	0	4022	0
"D0Z6V5"	0	18337	0	3973	0
"D0Z6V6"	0	18372	0	4008	0
"D0Z6V7"	0	18388	0	4024	0
"D0Z6W1"	0	8	0	6	0
"D0Z6W2"	0	18381	0	4017	0
"D0Z6W4"	0	18357	0	3993	0
"D0Z6W5"	0	18348	0	3984	0
"D0Z6X2"	0	18341	0	3977	0
"D0Z6X7"	0	47	0	44	0
"D0Z6X8"	0	79	0	75	0
"D0Z6X9"	0	78	0	74	0
"D0Z6Y1"	0	18373	0	4009	0
"D0Z6Y2"	0	18350	0	3986	0
"D0Z6Y3"	0	18371	0	4007	0
"D0Z6Y4"	0	18347	0	3983	0
"D0Z6Y6"	0	18349	0	3985	0
"D0Z6Y7"	0	18369	0	4005	0
"D0Z6Y8"	0	18361	0	3997	0
"D0Z6Y9"	0	18364	0	4000	0
"D0Z6Z0"	0	18360	0	3996	0
"D0Z6Z1"	0	18344	0	3980	0
"D0Z6Z2"	0	18374	0	4010	0
"D0Z6Z3"	0	86	0	82	0
"E3PAF1"	0	18456	0	4092	0
"E3PAF2"	0	18769	0	4405	0
"E3PAF3"	0	16986	0	2622	0
"E3PAF4"	0	17269	0	2905	0
"E3PAF5"	0	18489	0	4125	0
"E3PAF6"	0	16563	0	2199	0
"E3PAF7"	0	18271	0	3907	0
"E3PAF8"	0	14781	0	417	0
"E3PAF9"	0	15943	0	1579	0
"E3PAG0"	0	15896	0	1532	0
"E3PAG1"	0	17849	0	3485	0
"E3PAG2"	0	15157	0	793	0
"E3PAG3"	0	17023	0	2659	0
"E3PAG4"	0	16017	0	1653	0
"E3PAG5"	0	14602	0	238	0
"E3PAG6"	0	14955	0	591	0
"E3PAG7"	0	17747	0	3383	0
"E3PAG8"	0	17132	0	2768	0
"E3PAG9"	0	16939	0	2575	0
"E3PAH0"	0	18185	0	3821	0
"E3PAH1"	0	17454	0	3090	0
"E3PAH2"	0	15383	0	1019	0
"E3PAH3"	0	18398	0	4034	0
"E3PAH4"	0	15915	0	1551	0
"E3PAH6"	0	15847	0	1483	0
"E3PAH7"	0	15412	0	1048	0
"E3PAH8"	0	17393	0	3029	0
"E3PAH9"	0	17210	0	2846	0
"E3PAI0"	0	18780	0	4416	0
"E3PAI1"	0	18080	0	3716	0
"E3PAI2"	0	15387	0	1023	0
"E3PAI3"	0	16022	0	1658	0
"E3PAI4"	0	14973	0	609	0
"E3PAI5"	0	16122	0	1758	0
"E3PAI6"	0	16557	0	2193	0
"E3PAI7"	0	16197	0	1833	0
"E3PAI8"	0	14784	0	420	0
"E3PAI9"	0	17851	0	3487	0
"E3PAJ0"	0	17211	0	2847	0
"E3PAJ1"	0	15207	0	843	0
"E3PAJ2"	0	18666	0	4302	0
"E3PAJ3"	0	14736	0	372	0
"E3PAJ4"	0	16994	0	2630	0
"E3PAJ5"	0	14557	0	193	0
"E3PAJ6"	0	18644	0	4280	0
"E3PAJ7"	0	17287	0	2923	0
"E3PAJ8"	0	14692	0	328	0
"E3PAJ9"	0	16158	0	1794	0
"E3PAK0"	0	15684	0	1320	0
"E3PAK1"	0	17796	0	3432	0
"E3PAK2"	0	18241	0	3877	0
"E3PAK3"	0	14711	0	347	0
"E3PAK4"	0	17267	0	2903	0
"E3PAK5"	0	16627	0	2263	0
"E3PAK6"	0	16100	0	1736	0
"E3PAK7"	0	17332	0	2968	0
"E3PAK8"	0	14561	0	197	0
"E3PAL0"	0	80	0	76	0
"E3PAL1"	0	14739	0	375	0
"E3PAL2"	0	16364	0	2000	0
"E3PAL3"	0	16978	0	2614	0
"E3PAL4"	0	17059	0	2695	0
"E3PAL5"	0	15530	0	1166	0
"E3PAL6"	0	16507	0	2143	0
"E3PAL7"	0	17408	0	3044	0
"E3PAL8"	0	16055	0	1691	0
"E3PAL9"	0	17996	0	3632	0
