"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"A4H322"	0	23251	0	3549	0
"A4H323"	0	22759	0	3056	0
"A4H324"	0	23654	0	3952	0
"A4H325"	0	23845	0	4144	0
"A4H326"	0	25811	0	6114	0
"A4H327"	0	26750	0	7056	0
"A4H328"	0	24232	0	4531	0
"A4H329"	0	24916	0	5218	0
"A4H330"	0	25719	0	6022	0
"A4H331"	0	24037	0	4336	0
"A4H332"	0	26981	0	7287	0
"A4H333"	0	22114	0	2411	0
"A4H334"	0	27028	0	7334	0
"A4H335"	0	23653	0	3951	0
"A4H336"	0	23721	0	4019	0
"A4H337"	0	26866	0	7172	0
"A4H338"	0	25041	0	5343	0
"A4H339"	0	20515	0	811	0
"A4H340"	0	2117	0	613	0
"A4H341"	0	25484	0	5786	0
"A4H342"	0	24755	0	5056	0
"A4H343"	0	23712	0	4010	0
"A4H344"	0	23031	0	3328	0
"A4H345"	0	24890	0	5192	0
"A4H346"	0	25634	0	5937	0
"A4H347"	0	25198	0	5500	0
"A4H348"	0	21999	0	2296	0
"A4H349"	0	22841	0	3138	0
"A4H350"	0	20972	0	1268	0
"A4H351"	0	24285	0	4584	0
"A4H352"	0	21798	0	2095	0
"A4H353"	0	25252	0	5554	0
"A4H354"	0	1701	0	212	0
"A4H355"	0	25607	0	5910	0
"A4H356"	0	21837	0	2134	0
"A4H357"	0	23145	0	3443	0
"A4H358"	0	26890	0	7196	0
"A4H359"	0	25324	0	5626	0
"A4H360"	0	23641	0	3939	0
"A4H361"	0	21809	0	2106	0
"A4H362"	0	24600	0	4901	0
"A4H363"	0	24598	0	4899	0
"A4H364"	0	24783	0	5084	0
"A4H365"	0	24981	0	5283	0
"A4H366"	0	20839	0	1135	0
"A4H367"	0	1829	0	336	0
"A4H368"	0	1829	0	336	0
"A4H369"	0	22793	0	3090	0
"A4H370"	0	25828	0	6131	0
"A4H371"	0	22302	0	2599	0
"A4H372"	0	20465	0	760	0
"A4H373"	0	26576	0	6880	0
"A4H374"	0	26363	0	6666	0
"A4H375"	0	23674	0	3972	0
"A4H376"	0	21726	0	2023	0
"A4H377"	0	22228	0	2525	0
"A4H378"	0	26499	0	6803	0
"A4H379"	0	25352	0	5654	0
"A4H380"	0	25044	0	5346	0
"A4H381"	0	22512	0	2809	0
"A4H382"	0	22960	0	3257	0
"A4H383"	0	24754	0	5055	0
"A4H384"	0	25379	0	5681	0
"A4H385"	0	25777	0	6080	0
"A4H386"	0	23236	0	3534	0
"A4H387"	0	1574	0	88	0
"A4H388"	0	1574	0	88	0
"A4H389"	0	24905	0	5207	0
"A4H390"	0	24359	0	4658	0
"A4H391"	0	26153	0	6456	0
"A4H392"	0	21988	0	2285	0
"A4H394"	0	25784	0	6087	0
"A4H395"	0	24283	0	4582	0
"A4H396"	0	26009	0	6312	0
"A4H397"	0	27044	0	7350	0
"A4H398"	0	1761	0	269	0
"A4H399"	0	1513	0	28	0
"A4H3A0"	0	1513	0	28	0
"A4H3A1"	0	22945	0	3242	0
"A4H3A2"	0	21259	0	1555	0
"A4H3A3"	0	24072	0	4371	0
"A4H3A4"	0	26712	0	7017	0
"A4H3A5"	0	25402	0	5704	0
"A4H3A6"	0	22104	0	2401	0
"A4H3A7"	0	21235	0	1531	0
"A4H3A8"	0	23940	0	4239	0
"A4H3A9"	0	1583	0	97	0
"A4H3B1"	0	22992	0	3289	0
"A4H3B2"	0	25742	0	6045	0
"A4H3B3"	0	23528	0	3826	0
"A4H3B4"	0	1583	0	97	0
"A4H3B5"	0	1583	0	97	0
"A4H3B6"	0	1583	0	97	0
"A4H3B7"	0	25755	0	6058	0
"A4H3B8"	0	22022	0	2319	0
"A4H3B9"	0	25371	0	5673	0
"A4H3C0"	0	20783	0	1079	0
"A4H3C1"	0	22596	0	2893	0
"A4H3C2"	0	1995	0	5094	0
"A4H3C3"	0	25982	0	6285	0
"A4H3C4"	0	23198	0	3496	0
"A4H3C5"	0	20626	0	922	0
"A4H3C6"	0	20488	0	784	0
"A4H3C7"	0	22003	0	2300	0
"A4H3C8"	0	24453	0	4753	0
"A4H3C9"	0	25953	0	6256	0
"A4H3D0"	0	26737	0	7043	0
"A4H3D1"	0	22785	0	3082	0
"A4H3D2"	0	25081	0	5383	0
"A4H3D3"	0	20615	0	911	0
"A4H3D4"	0	23997	0	4296	0
"A4H3D5"	0	20714	0	1010	0
"A4H3D6"	0	22229	0	2526	0
"A4H3D7"	0	24227	0	4526	0
"A4H3D8"	0	26688	0	6993	0
"A4H3D9"	0	25149	0	5451	0
"A4H3E0"	0	24450	0	4750	0
"A4H3E1"	0	22383	0	2680	0
"A4H3E2"	0	26665	0	6970	0
"A4H3E3"	0	24795	0	5097	0
"A4H3E4"	0	23405	0	3703	0
"A4H3E5"	0	25794	0	6097	0
"A4H3E6"	0	26366	0	6669	0
"A4H3E7"	0	26971	0	7277	0
"A4H3E8"	0	1534	0	49	0
"A4H3E9"	0	21724	0	2021	0
"A4H3F0"	0	24831	0	5133	0
"A4H3F1"	0	23515	0	3813	0
"A4H3F2"	0	20889	0	1185	0
"A4H3F3"	0	26940	0	7246	0
"A4H3F4"	0	20885	0	1181	0
"A4H3F5"	0	23322	0	3620	0
"A4H3F6"	0	22761	0	3058	0
"A4H3F7"	0	23056	0	3353	0
"A4H3F8"	0	22238	0	2535	0
"A4H3F9"	0	1684	0	196	0
"A4H3G0"	0	1746	0	255	0
"A4H3G1"	0	1745	0	254	0
"A4H3G2"	0	1534	0	49	0
"A4H3G3"	0	1534	0	49	0
"A4H3G5"	0	1534	0	49	0
"A4H3G6"	0	26089	0	6392	0
"A4H3G8"	0	1534	0	49	0
"A4H3G9"	0	1534	0	49	0
"A4H3H0"	0	1534	0	49	0
"A4H3H1"	0	27070	0	7376	0
"A4H3H2"	0	1518	0	33	0
"A4H3H3"	0	1518	0	33	0
"A4H3H4"	0	22411	0	2708	0
"A4H3H5"	0	25830	0	6133	0
"A4H3H6"	0	24440	0	4740	0
"A4H3H7"	0	26604	0	6909	0
"A4H3H8"	0	23083	0	3380	0
"A4H3H9"	0	24494	0	4794	0
"A4H3I0"	0	21675	0	1972	0
"A4H3I1"	0	21769	0	2066	0
"A4H3I2"	0	2009	0	511	0
"A4H3I3"	0	24620	0	4921	0
"A4H3I4"	0	23291	0	3589	0
"A4H3I5"	0	21764	0	2061	0
"A4H3I6"	0	26439	0	6743	0
"A4H3I7"	0	24433	0	4733	0
"A4H3I8"	0	26272	0	6575	0
"A4H3I9"	0	25073	0	5375	0
"A4H3J0"	0	27219	0	7526	0
"A4H3J1"	0	25319	0	5621	0
"A4H3J2"	0	25391	0	5693	0
"A4H3J3"	0	21601	0	1898	0
"A4H3J4"	0	2104	0	602	0
"A4H3J5"	0	26544	0	6848	0
"A4H3J6"	0	25574	0	5877	0
"A4H3J7"	0	1582	0	96	0
"A4H3J8"	0	26647	0	6952	0
"A4H3J9"	0	1783	0	291	0
"A4H3K0"	0	23088	0	3385	0
"A4H3K1"	0	22495	0	2792	0
"A4H3K2"	0	20879	0	1175	0
"A4H3K3"	0	22525	0	2822	0
"A4H3K4"	0	25908	0	6211	0
"A4H3K5"	0	25556	0	5859	0
"A4H3K6"	0	1955	0	460	0
"A4H3K7"	0	1955	0	460	0
"A4H3K8"	0	1840	0	347	0
"A4H3K9"	0	20690	0	986	0
"A4H3L0"	0	1790	0	297	0
"A4H3L1"	0	1790	0	297	0
"A4H3L2"	0	21527	0	1824	0
"A4H3L3"	0	22426	0	2723	0
"A4H3L4"	0	23947	0	4246	0
"A4H3L5"	0	23499	0	3797	0
"A4H3L6"	0	1936	0	441	0
"A4H3L7"	0	25302	0	5604	0
"A4H3L8"	0	24258	0	4557	0
"A4H3L9"	0	26913	0	7219	0
"A4H3M0"	0	23658	0	3956	0
"A4H3M1"	0	22232	0	2529	0
"A4H3M2"	0	21522	0	1819	0
"A4H3M3"	0	24709	0	5010	0
"A4H3M4"	0	24241	0	4540	0
"A4H3M5"	0	21643	0	1940	0
"A4H3M6"	0	24031	0	4330	0
"A4H3M7"	0	25965	0	6268	0
"A4H3M8"	0	23890	0	4189	0
"A4H3M9"	0	27092	0	7398	0
"A4H3N0"	0	21619	0	1916	0
"A4H3N1"	0	22416	0	2713	0
"A4H3N2"	0	25881	0	6184	0
"A4H3N3"	0	25948	0	6251	0
"A4H3N4"	0	21168	0	1464	0
"A4H3N5"	0	26319	0	6622	0
"A4H3N6"	0	23138	0	3436	0
"A4H3N7"	0	25682	0	5985	0
"A4H3N8"	0	24582	0	4883	0
"A4H3N9"	0	22516	0	2813	0
"A4H3P0"	0	21122	0	1418	0
"A4H3P1"	0	22015	0	2312	0
"A4H3P2"	0	26872	0	7178	0
"A4H3P3"	0	22259	0	2556	0
"A4H3P4"	0	25078	0	5380	0
"A4H3P5"	0	21645	0	1942	0
"A4H3P6"	0	26084	0	6387	0
"A4H3P7"	0	24220	0	4519	0
"A4H3P8"	0	23859	0	4158	0
"A4H3P9"	0	27280	0	7588	0
"A4H3Q0"	0	25448	0	5750	0
"A4H3Q1"	0	26581	0	6885	0
"A4H3Q2"	0	26706	0	7011	0
"A4H3Q3"	0	20415	0	710	0
"A4H3Q4"	0	25380	0	5682	0
"A4H3Q5"	0	21592	0	1889	0
"A4H3Q6"	0	22127	0	2424	0
"A4H3Q7"	0	25496	0	5799	0
"A4H3Q8"	0	2074	0	575	0
"A4H3Q9"	0	24038	0	4337	0
"A4H3R0"	0	25987	0	6290	0
"A4H3R1"	0	1653	0	165	0
"A4H3R2"	0	25980	0	6283	0
"A4H3R3"	0	1668	0	180	0
"A4H3R4"	0	21773	0	2070	0
"A4H3R5"	0	23496	0	3794	0
"A4H3R6"	0	22064	0	2361	0
"A4H3R7"	0	27069	0	7375	0
"A4H3R8"	0	20398	0	693	0
"A4H3R9"	0	1783	0	291	0
"A4H3S0"	0	21026	0	1322	0
"A4H3S1"	0	24265	0	4564	0
"A4H3S2"	0	1662	0	174	0
"A4H3S3"	0	1662	0	174	0
"A4H3S4"	0	22687	0	2984	0
"A4H3S5"	0	24557	0	4858	0
"A4H3S6"	0	23934	0	4233	0
"A4H3S7"	0	24603	0	4904	0
"A4H3S8"	0	26309	0	6612	0
"A4H3S9"	0	1610	0	123	0
"A4H3T0"	0	23178	0	3476	0
"A4H3T1"	0	27006	0	7312	0
"A4H3T2"	0	24561	0	4862	0
"A4H3T3"	0	24458	0	4758	0
"A4H3T4"	0	26930	0	7236	0
"A4H3T5"	0	26072	0	6375	0
"A4H3T6"	0	1642	0	154	0
"A4H3T7"	0	1642	0	154	0
"A4H3T8"	0	1642	0	154	0
"A4H3T9"	0	1642	0	154	0
"A4H3U0"	0	1642	0	154	0
"A4H3U1"	0	1642	0	154	0
"A4H3U2"	0	21526	0	1823	0
"A4H3U3"	0	26286	0	6589	0
"A4H3U4"	0	25093	0	5395	0
"A4H3U5"	0	22202	0	2499	0
"A4H3U6"	0	23823	0	4121	0
"A4H3U7"	0	25707	0	6010	0
"A4H3U8"	0	22777	0	3074	0
"A4H3U9"	0	1994	0	497	0
"A4H3V0"	0	25430	0	5732	0
"A4H3V1"	0	27320	0	7628	0
"A4H3V2"	0	24412	0	4712	0
"A4H3V3"	0	20821	0	1117	0
"A4H3V4"	0	23418	0	3716	0
"A4H3V5"	0	21375	0	1671	0
"A4H3V6"	0	1632	0	144	0
"A4H3V7"	0	1522	0	37	0
"A4H3V8"	0	1522	0	37	0
"A4H3V9"	0	26545	0	6849	0
"A4H3W0"	0	26459	0	6763	0
"A4H3W1"	0	22594	0	2891	0
"A4H3W2"	0	20962	0	1258	0
"A4H3W3"	0	23891	0	4190	0
"A4H3W4"	0	20919	0	1215	0
"A4H3W5"	0	23803	0	4101	0
"A4H3W6"	0	21141	0	1437	0
"A4H3W7"	0	2158	0	653	0
"A4H3W8"	0	25957	0	6260	0
"A4H3W9"	0	26338	0	6641	0
"A4H3X0"	0	23700	0	3998	0
"A4H3X1"	0	25919	0	6222	0
"A4H3X2"	0	22911	0	3208	0
"A4H3X3"	0	20905	0	1201	0
"A4H3X5"	0	22611	0	2908	0
"A4H3X6"	0	23353	0	3651	0
"A4H3X7"	0	23091	0	3388	0
"A4H3X8"	0	21418	0	1714	0
"A4H3X9"	0	21469	0	1765	0
"A4H3Y0"	0	1943	0	448	0
"A4H3Y1"	0	21483	0	1779	0
"A4H3Y2"	0	1784	0	292	0
"A4H3Y3"	0	22325	0	2622	0
"A4H3Y4"	0	26852	0	7158	0
"A4H3Y5"	0	20934	0	1230	0
"A4H3Y6"	0	21917	0	2214	0
"A4H3Y7"	0	2000	0	502	0
"A4H3Y8"	0	2135	0	631	0
"A4H3Y9"	0	26424	0	6728	0
"A4H3Z0"	0	20611	0	907	0
"A4H3Z1"	0	22681	0	2978	0
"A4H3Z2"	0	21628	0	1925	0
"A4H3Z3"	0	23848	0	4147	0
"A4H3Z4"	0	24965	0	5267	0
"A4H3Z5"	0	22340	0	2637	0
"A4H3Z6"	0	25381	0	5683	0
"A4H3Z7"	0	20531	0	827	0
"A4H3Z8"	0	23206	0	3504	0
"A4H3Z9"	0	20915	0	1211	0
"A4H400"	0	23811	0	4109	0
"A4H401"	0	22334	0	2631	0
"A4H402"	0	2016	0	518	0
"A4H403"	0	27258	0	7566	0
"A4H404"	0	27193	0	7500	0
"A4H405"	0	24948	0	5250	0
"A4H406"	0	26595	0	6900	0
"A4H407"	0	26946	0	7252	0
"A4H408"	0	22998	0	3295	0
"A4H410"	0	25163	0	5465	0
"A4H411"	0	21774	0	2071	0
"A4H412"	0	22529	0	2826	0
"A4H413"	0	23422	0	3720	0
"A4H414"	0	23744	0	4042	0
"A4H415"	0	26632	0	6937	0
"A4H416"	0	20917	0	1213	0
"A4H417"	0	23718	0	4016	0
"A4H418"	0	1595	0	109	0
"A4H419"	0	1595	0	109	0
"A4H420"	0	24467	0	4767	0
"A4H421"	0	24771	0	5072	0
"A4H422"	0	24145	0	4444	0
"A4H423"	0	21074	0	1370	0
"A4H424"	0	26270	0	6573	0
"A4H425"	0	21533	0	1830	0
"A4H426"	0	21442	0	1738	0
"A4H427"	0	24309	0	4608	0
"A4H428"	0	23713	0	4011	0
"A4H429"	0	25625	0	5928	0
"A4H430"	0	23682	0	3980	0
"A4H431"	0	26405	0	6709	0
"A4H432"	0	21819	0	2116	0
"A4H433"	0	21680	0	1977	0
"A4H434"	0	21119	0	1415	0
"A4H435"	0	25118	0	5420	0
"A4H436"	0	26191	0	6494	0
"A4H437"	0	25664	0	5967	0
"A4H438"	0	2026	0	528	0
"A4H439"	0	1784	0	292	0
"A4H440"	0	1784	0	292	0
"A4H441"	0	21010	0	1306	0
"A4H442"	0	27063	0	7369	0
"A4H443"	0	26663	0	6968	0
"A4H444"	0	26747	0	7053	0
"A4H445"	0	1784	0	292	0
"A4H446"	0	1784	0	292	0
"A4H447"	0	21213	0	1509	0
"A4H448"	0	22458	0	2755	0
"A4H449"	0	1647	0	159	0
"A4H450"	0	22025	0	2322	0
"A4H451"	0	20421	0	716	0
"A4H452"	0	20660	0	956	0
"A4H453"	0	22618	0	2915	0
