"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"P0A2V6"	0	44124	0	814	0
"P0A349"	0	44370	0	1060	0
"P0A3A4"	0	44540	0	1230	0
"P0A4G4"	0	44076	0	766	0
"P0C095"	0	44151	0	841	0
"P0C0B4"	0	44178	0	868	0
"P0C0B6"	0	44563	0	1253	0
"P0C0B8"	0	44508	0	1198	0
"P0C0B9"	0	44787	0	1477	0
"P0C0C2"	0	44906	0	1596	0
"P0C0C3"	0	43603	0	293	0
"P0C0C6"	0	44529	0	1219	0
"P0C0C8"	0	43922	0	612	0
"P0C0D0"	0	44126	0	816	0
"P0C0D1"	0	44148	0	838	0
"P0C0D4"	0	44184	0	874	0
"P0C0D6"	0	44200	0	890	0
"P0C0D8"	0	44113	0	803	0
"P0C0E0"	0	44230	0	920	0
"P0C0E1"	1	44301	1	991	1
"P0C0E3"	0	44277	0	967	0
"P0C0E8"	0	44585	0	1275	0
"P0C0F1"	0	44421	0	1111	0
"P0C0F3"	0	44607	0	1297	0
"P0C0F5"	0	44327	0	1017	0
"P0C0G1"	0	44444	0	1134	0
"P0C0G3"	0	43571	0	261	0
"P0C0G5"	0	44884	0	1574	0
"P0C0G7"	0	44972	0	1662	0
"P0C0G9"	0	44340	0	1030	0
"P0C0H1"	0	43549	0	239	0
"P0C0H3"	0	1413	0	25	0
"P0C0H5"	0	44334	0	1024	0
"P0C0H7"	0	43698	0	388	0
"P0C0H9"	0	44265	0	955	0
"P0C0I1"	0	44263	0	953	0
"P0C0I3"	1	44296	1	986	1
"P0C0I5"	0	44264	0	954	0
"P0C0I7"	0	44258	0	948	0
"P0C0I9"	0	1463	0	28	0
"P0C0J1"	0	44261	0	951	0
"P10520"	0	44268	0	958	0
"P58075"	0	44032	0	722	0
"P58080"	0	43614	0	304	0
"P58083"	0	43624	0	314	0
"P58099"	1	44250	1	940	1
"P58102"	0	44390	0	1080	0
"P58159"	0	44315	0	1005	0
"P58160"	0	44359	0	1049	0
"P58183"	0	44177	0	867	0
"P59819"	0	44179	0	869	0
"P60080"	0	44209	0	899	0
"P60187"	0	43933	0	623	0
"P60199"	0	44227	0	917	0
"P60220"	0	44256	0	946	0
