"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"NP_301129.1"	0	192	0	2	0
"NP_301130.1"	0	193	0	3	0
"NP_301131.1"	0	194	0	4	0
"NP_301132.1"	0	195	0	5	0
"NP_301133.1"	0	196	0	6	0
"NP_301134.1"	0	197	0	7	0
"NP_301135.1"	0	198	0	8	0
"NP_301136.1"	0	31266	0	1538	0
"NP_301137.1"	0	31292	0	1564	0
"NP_301138.1"	0	199	0	9	0
"NP_301139.1"	0	30881	0	1151	0
"NP_301140.1"	0	200	0	10	0
"NP_301141.1"	0	201	0	11	0
"NP_301142.1"	0	202	0	12	0
"NP_301143.1"	0	203	0	13	0
"NP_301144.1"	0	204	0	14	0
"NP_301145.1"	0	205	0	15	0
"NP_301146.1"	0	206	0	16	0
"NP_301147.1"	0	207	0	17	0
"NP_301148.1"	0	31067	0	1338	0
"NP_301149.1"	0	31072	0	1343	0
"NP_301150.1"	0	31078	0	1349	0
"NP_301151.1"	0	31084	0	1355	0
"NP_301152.1"	0	208	0	18	0
"NP_301153.1"	0	31089	0	1360	0
"NP_301154.1"	0	31095	0	1366	0
"NP_301155.1"	0	31102	0	1373	0
"NP_301156.1"	0	209	0	19	0
"NP_301157.1"	0	210	1	20	0
"NP_301158.1"	0	31115	0	1386	0
"NP_301159.1"	0	31118	0	1389	0
"NP_301160.1"	0	31122	0	1393	0
"NP_301161.1"	0	31126	0	1397	0
"NP_301162.1"	0	31128	0	1399	0
"NP_301163.1"	1	31130	1	1401	1
"NP_301164.1"	0	31136	0	1407	0
"NP_301165.1"	0	211	0	21	0
"NP_301166.1"	0	212	0	22	0
"NP_301167.1"	0	213	0	23	0
"NP_301168.1"	0	214	0	24	0
"NP_301169.1"	0	31150	0	1421	0
"NP_301170.1"	0	215	0	25	0
"NP_301171.1"	0	216	0	26	0
"NP_301172.1"	0	217	0	27	0
"NP_301173.1"	0	218	0	28	0
"NP_301174.1"	0	219	0	29	0
"NP_301175.1"	0	31166	0	1437	0
"NP_301176.1"	0	220	0	30	0
"NP_301177.1"	0	221	0	31	0
"NP_301178.1"	0	31174	0	1445	0
"NP_301179.1"	0	222	0	32	0
"NP_301180.1"	0	223	0	33	0
"NP_301181.1"	0	31182	0	1453	0
"NP_301182.1"	0	224	0	34	0
"NP_301183.1"	0	225	0	35	0
"NP_301184.1"	0	31188	0	1459	0
"NP_301185.1"	0	31191	0	1462	0
"NP_301186.1"	0	226	0	36	0
"NP_301187.1"	0	227	0	37	0
"NP_301188.1"	0	228	0	38	0
"NP_301189.1"	0	31216	0	1487	0
"NP_301190.1"	0	229	0	39	0
"NP_301191.1"	0	230	0	40	0
"NP_301192.1"	0	31227	0	1498	0
"NP_301193.1"	0	231	0	41	0
"NP_301194.1"	0	232	0	42	0
"NP_301195.1"	0	233	1	43	1
"NP_301196.1"	0	234	1	44	0
"NP_301197.1"	0	235	0	45	0
"NP_301198.1"	0	236	0	46	0
"NP_301199.1"	0	237	0	47	0
"NP_301200.1"	0	238	0	48	0
"NP_301201.1"	0	239	0	49	0
"NP_301202.1"	0	240	0	50	0
"NP_301203.1"	0	241	0	51	0
"NP_301204.1"	0	242	0	52	0
"NP_301205.1"	0	243	0	53	0
"NP_301206.1"	0	244	0	54	0
"NP_301207.1"	0	31262	0	1534	0
"NP_301208.1"	0	245	0	55	0
"NP_301209.1"	0	246	0	56	0
"NP_301210.1"	0	247	0	57	0
"NP_301211.1"	0	248	0	58	0
"NP_301212.1"	0	31278	0	1550	0
"NP_301213.1"	0	249	0	59	0
"NP_301214.1"	0	250	0	60	0
"NP_301215.1"	0	251	0	61	0
"NP_301216.1"	0	252	0	62	0
"NP_301217.1"	0	31288	0	1560	0
"NP_301218.1"	0	31293	0	1565	0
"NP_301219.1"	0	253	1	63	0
"NP_301220.1"	0	31296	0	1568	0
"NP_301221.1"	0	254	0	64	0
"NP_301222.1"	0	253	1	63	0
"NP_301223.1"	0	255	0	65	0
"NP_301224.1"	0	256	0	66	0
"NP_301225.1"	0	257	0	67	0
"NP_301226.2"	0	258	0	68	0
"NP_301227.1"	0	31324	0	1596	0
"NP_301228.1"	0	259	0	69	0
"NP_301229.1"	0	260	0	70	0
"NP_301230.1"	0	261	0	71	0
"NP_301231.1"	0	30862	0	1132	0
"NP_301232.1"	0	262	1	72	0
"NP_301233.1"	0	263	1	73	0
"NP_301234.1"	0	30865	0	1135	0
"NP_301235.1"	0	30866	0	1136	0
"NP_301236.1"	0	264	0	74	0
"NP_301237.1"	0	265	0	75	0
"NP_301238.1"	0	30882	0	1152	0
"NP_301239.1"	0	266	0	76	0
"NP_301240.1"	0	30888	0	1158	0
"NP_301241.1"	0	267	0	77	0
"NP_301242.1"	0	268	0	78	0
"NP_301243.1"	0	30889	0	1159	0
"NP_301244.1"	0	269	0	79	0
"NP_301245.1"	0	270	1	80	0
"NP_301246.1"	0	271	0	81	0
"NP_301247.1"	0	30903	0	1173	0
"NP_301248.1"	0	272	0	82	0
"NP_301249.1"	0	273	0	83	0
"NP_301250.1"	0	274	0	84	0
"NP_301251.1"	0	275	0	85	0
"NP_301252.1"	0	276	0	86	0
"NP_301253.1"	0	277	0	87	0
"NP_301254.1"	0	30933	0	1203	0
"NP_301255.1"	0	278	0	88	0
"NP_301256.1"	0	30943	0	1213	0
"NP_301257.1"	0	279	0	89	0
"NP_301258.1"	0	280	0	90	0
"NP_301259.1"	0	281	0	91	0
"NP_301260.1"	0	30958	0	1229	0
"NP_301261.1"	0	30962	0	1233	0
"NP_301262.1"	0	30969	0	1240	0
"NP_301263.1"	0	282	0	92	0
"NP_301264.1"	0	283	0	93	0
"NP_301265.1"	0	30980	0	1251	0
"NP_301266.1"	0	284	0	94	0
"NP_301267.1"	0	285	0	95	0
"NP_301268.1"	0	286	0	96	0
"NP_301269.1"	0	287	0	97	0
"NP_301270.1"	0	288	0	98	0
"NP_301271.1"	0	289	0	99	0
"NP_301272.1"	0	290	0	100	0
"NP_301273.1"	0	30999	0	1270	0
"NP_301274.1"	0	291	0	101	0
"NP_301275.1"	0	292	0	102	0
"NP_301276.1"	0	293	0	103	0
"NP_301277.1"	0	294	0	104	0
"NP_301278.1"	0	295	0	105	0
"NP_301279.1"	0	296	0	106	0
"NP_301280.1"	0	31020	0	1291	0
"NP_301281.1"	0	31023	0	1294	0
"NP_301282.1"	0	297	0	107	0
"NP_301283.1"	0	298	0	108	0
"NP_301284.1"	0	299	0	109	0
"NP_301285.1"	0	31041	0	1312	0
"NP_301286.1"	0	31047	0	1318	0
"NP_301287.1"	0	300	0	110	0
"NP_301288.1"	0	31051	0	1322	0
"NP_301289.1"	0	31055	0	1326	0
"NP_301290.1"	0	302	0	111	0
"NP_301291.1"	0	303	0	112	0
"NP_301292.1"	0	304	0	113	0
"NP_301293.1"	0	305	0	114	0
"NP_301294.1"	1	306	1	115	1
"NP_301295.1"	0	307	0	116	0
"NP_301296.1"	0	308	0	117	0
"NP_301297.1"	0	309	0	118	0
"NP_301298.1"	0	310	0	119	0
"NP_301299.1"	0	311	0	120	0
"NP_301300.1"	0	312	0	121	0
"NP_301301.1"	0	313	0	122	0
"NP_301302.1"	0	314	0	123	0
"NP_301303.1"	0	315	0	124	0
"NP_301304.1"	0	316	0	125	0
"NP_301305.1"	0	31056	0	1327	0
"NP_301306.1"	0	31057	0	1328	0
"NP_301307.1"	0	317	0	126	0
"NP_301308.1"	0	318	0	127	0
"NP_301309.1"	0	319	0	128	0
"NP_301310.1"	0	320	0	129	0
"NP_301311.1"	0	31058	0	1329	0
"NP_301312.1"	0	321	0	130	0
"NP_301313.1"	0	322	0	131	0
"NP_301314.1"	0	31059	0	1330	0
"NP_301315.1"	0	323	0	132	0
"NP_301316.1"	0	31060	0	1331	0
"NP_301317.1"	0	31061	0	1332	0
"NP_301318.1"	0	324	0	133	0
"NP_301319.1"	0	325	0	134	0
"NP_301320.1"	0	31062	0	1333	0
"NP_301321.1"	0	326	0	135	0
"NP_301322.1"	0	31063	0	1334	0
"NP_301323.1"	0	31064	0	1335	0
"NP_301324.1"	0	327	0	136	0
"NP_301325.1"	0	31065	0	1336	0
"NP_301326.1"	0	328	0	137	0
"NP_301327.1"	0	31066	0	1337	0
"NP_301328.1"	0	31068	0	1339	0
"NP_301329.1"	0	31069	0	1340	0
"NP_301330.1"	0	31070	0	1341	0
"NP_301331.1"	0	329	0	138	0
"NP_301332.1"	0	330	0	139	0
"NP_301333.1"	0	331	0	140	0
"NP_301334.1"	0	31071	0	1342	0
"NP_301335.1"	0	332	0	141	0
"NP_301336.1"	0	333	0	142	0
"NP_301337.1"	0	334	0	143	0
"NP_301338.1"	0	335	0	144	0
"NP_301339.1"	0	31073	0	1344	0
"NP_301340.1"	0	336	0	145	0
"NP_301341.1"	0	31074	0	1345	0
"NP_301342.1"	0	337	0	146	0
"NP_301343.1"	0	31075	0	1346	0
"NP_301344.1"	0	31076	0	1347	0
"NP_301345.1"	1	338	1	147	1
"NP_301346.1"	0	31077	0	1348	0
"NP_301347.1"	0	339	0	148	0
"NP_301348.1"	0	31079	0	1350	0
"NP_301349.1"	0	340	0	149	0
"NP_301350.1"	0	341	0	150	0
"NP_301351.1"	0	342	0	151	0
"NP_301352.1"	0	31080	0	1351	0
"NP_301353.1"	0	31081	0	1352	0
"NP_301354.1"	0	343	0	152	0
"NP_301355.1"	0	31082	0	1353	0
"NP_301356.1"	0	31083	0	1354	0
"NP_301357.1"	0	344	0	153	0
"NP_301358.1"	0	345	0	154	0
"NP_301359.1"	0	31085	0	1356	0
"NP_301360.1"	0	346	0	155	0
"NP_301361.1"	0	347	0	156	0
"NP_301362.1"	0	348	0	157	0
"NP_301363.1"	0	31086	0	1357	0
"NP_301364.1"	0	349	0	158	0
"NP_301365.1"	0	350	0	159	0
"NP_301366.1"	0	351	0	160	0
"NP_301367.1"	0	352	0	161	0
"NP_301368.1"	0	31087	0	1358	0
"NP_301369.1"	0	353	0	162	0
"NP_301370.1"	0	354	0	163	0
"NP_301371.1"	0	355	0	164	0
"NP_301372.1"	1	356	1	165	1
"NP_301373.1"	0	357	0	166	0
"NP_301374.1"	0	358	0	167	0
"NP_301375.1"	0	31088	0	1359	0
"NP_301376.1"	0	359	0	168	0
"NP_301377.1"	0	360	0	169	0
"NP_301378.1"	0	361	0	170	0
"NP_301379.1"	0	362	0	171	0
"NP_301380.1"	0	363	0	172	0
"NP_301381.1"	0	31090	0	1361	0
"NP_301382.1"	0	31091	0	1362	0
"NP_301383.1"	0	364	0	173	0
"NP_301384.1"	0	365	0	174	0
"NP_301385.1"	0	31092	0	1363	0
"NP_301386.1"	0	31093	0	1364	0
"NP_301387.1"	0	31094	0	1365	0
"NP_301388.1"	0	31096	0	1367	0
"NP_301389.1"	0	31097	0	1368	0
"NP_301390.1"	0	31098	0	1369	0
"NP_301391.1"	0	31099	0	1370	0
"NP_301392.1"	0	31100	0	1371	0
"NP_301393.1"	0	366	0	175	0
"NP_301394.1"	0	367	0	176	0
"NP_301395.1"	0	368	0	177	0
"NP_301396.1"	0	31101	0	1372	0
"NP_301397.1"	0	369	0	178	0
"NP_301398.1"	0	370	0	179	0
"NP_301399.1"	0	371	0	180	0
"NP_301400.1"	0	372	0	181	0
"NP_301401.1"	0	31103	0	1374	0
"NP_301402.1"	0	31104	0	1375	0
"NP_301403.1"	0	31105	0	1376	0
"NP_301404.1"	0	373	0	182	0
"NP_301405.1"	0	374	0	183	0
"NP_301406.1"	0	375	0	184	0
"NP_301407.1"	0	31106	0	1377	0
"NP_301408.1"	0	376	0	185	0
"NP_301409.1"	0	377	0	186	0
"NP_301410.1"	0	378	0	187	0
"NP_301411.1"	0	31107	0	1378	0
"NP_301412.1"	0	31108	0	1379	0
"NP_301413.1"	0	31109	0	1380	0
"NP_301414.1"	0	379	0	188	0
"NP_301415.1"	0	31110	0	1381	0
"NP_301416.1"	0	31111	0	1382	0
