"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"YP_003097805.1"	0	18929	0	40	0
"YP_003097806.1"	0	19529	0	640	0
"YP_003097807.1"	0	88	0	5	0
"YP_008492911.1"	0	19729	0	840	0
"YP_008492912.1"	0	19836	0	947	0
"YP_008492913.1"	0	19945	0	1056	0
"YP_008492914.1"	0	20050	0	1161	0
"YP_008492915.1"	0	20158	0	1269	0
"YP_008492916.1"	0	20265	0	1376	0
"YP_008492917.1"	0	18930	0	41	0
"YP_008492918.1"	0	19038	0	149	0
"YP_008492919.1"	0	19129	0	240	0
"YP_008492920.1"	0	19233	0	344	0
"YP_169084.1"	0	19336	0	447	0
"YP_169085.1"	0	19425	0	536	0
"YP_169086.1"	0	88	0	5	0
"YP_169087.1"	0	19498	0	609	0
"YP_169088.1"	0	19509	0	620	0
"YP_169089.1"	0	19519	0	630	0
"YP_169090.1"	0	19530	0	641	0
"YP_169091.1"	0	19540	0	651	0
"YP_169092.1"	0	19551	0	662	0
"YP_169093.1"	0	19561	0	672	0
"YP_169094.1"	1	19571	1	682	1
"YP_169095.1"	0	19581	0	692	0
"YP_169096.1"	0	19592	0	703	0
"YP_169097.1"	0	19603	0	714	0
"YP_169098.1"	0	19614	0	725	0
"YP_169101.1"	0	19624	0	735	0
"YP_169102.1"	0	19633	0	744	0
"YP_169103.1"	0	19641	0	752	0
"YP_169104.1"	0	19651	0	762	0
"YP_169105.1"	0	19658	0	769	0
"YP_169106.1"	0	19668	0	779	0
"YP_169107.1"	0	19675	0	786	0
"YP_169108.1"	0	89	0	6	0
"YP_169109.1"	0	19696	0	807	0
"YP_169110.1"	0	19707	0	818	0
"YP_169111.1"	0	19718	0	829	0
"YP_169112.1"	0	19730	0	841	0
"YP_169113.1"	0	19740	0	851	0
"YP_169114.1"	0	19751	0	862	0
"YP_169115.1"	0	19762	0	873	0
"YP_169116.1"	0	19773	0	884	0
"YP_169117.1"	0	19784	0	895	0
"YP_169118.1"	0	19794	0	905	0
"YP_169119.1"	0	19804	0	915	0
"YP_169120.1"	0	19815	0	926	0
"YP_169121.1"	0	19826	0	937	0
"YP_169122.1"	0	19837	0	948	0
"YP_169123.1"	0	19847	0	958	0
"YP_169124.1"	0	19858	0	969	0
"YP_169125.1"	0	19868	0	979	0
"YP_169126.1"	0	19879	0	990	0
"YP_169127.1"	0	19890	0	1001	0
"YP_169128.1"	0	19901	0	1012	0
"YP_169129.1"	0	19912	0	1023	0
"YP_169130.1"	0	19923	0	1034	0
"YP_169131.1"	0	19934	0	1045	0
"YP_169132.1"	0	19946	0	1057	0
"YP_169133.1"	0	19957	0	1068	0
"YP_169134.1"	0	19967	0	1078	0
"YP_169135.1"	0	19978	0	1089	0
"YP_169136.1"	0	19989	0	1100	0
"YP_169137.1"	0	19999	0	1110	0
"YP_169138.1"	0	20009	0	1120	0
"YP_169139.1"	0	90	0	7	0
"YP_169140.1"	0	20029	0	1140	0
"YP_169141.1"	0	20039	0	1150	0
"YP_169142.1"	0	20051	0	1162	0
"YP_169143.1"	0	20062	0	1173	0
"YP_169144.1"	0	20073	0	1184	0
"YP_169145.1"	0	20082	0	1193	0
"YP_169146.1"	0	20093	0	1204	0
"YP_169147.1"	0	20104	0	1215	0
"YP_169148.1"	0	20115	0	1226	0
"YP_169149.1"	0	20125	0	1236	0
"YP_169150.1"	0	20136	0	1247	0
"YP_169151.1"	0	20147	0	1258	0
"YP_169152.1"	1	20159	1	1270	1
"YP_169153.1"	0	20170	0	1281	0
"YP_169154.1"	0	20180	0	1291	0
"YP_169155.1"	0	20191	0	1302	0
"YP_169156.1"	0	20202	0	1313	0
"YP_169157.1"	1	20213	1	1324	1
"YP_169158.1"	0	20223	0	1334	0
"YP_169159.1"	0	20233	0	1344	0
"YP_169160.1"	0	20244	0	1355	0
"YP_169161.1"	0	20254	0	1365	0
"YP_169162.1"	0	20266	0	1377	0
"YP_169163.1"	0	20277	0	1388	0
"YP_169164.1"	0	20288	0	1399	0
"YP_169165.1"	0	20299	0	1410	0
"YP_169166.1"	0	20309	0	1420	0
"YP_169167.1"	0	20318	0	1429	0
"YP_169168.1"	0	20329	0	1440	0
"YP_169169.1"	0	20340	0	1451	0
"YP_169170.1"	0	88	0	5	0
"YP_169171.1"	0	91	0	8	0
"YP_169172.1"	1	18931	1	42	1
"YP_169173.1"	0	18941	0	52	0
"YP_169174.1"	0	18952	0	63	0
"YP_169175.1"	0	18963	0	74	0
"YP_169176.1"	1	18974	1	85	1
"YP_169177.1"	0	18985	0	96	0
"YP_169178.1"	0	18995	0	106	0
"YP_169179.1"	0	19006	0	117	0
"YP_169180.1"	0	19016	0	127	0
"YP_169181.1"	0	19027	0	138	0
"YP_169182.1"	0	19039	0	150	0
"YP_169183.1"	0	19048	0	159	0
"YP_169184.1"	0	19058	0	169	0
"YP_169185.1"	0	19069	0	180	0
"YP_169186.1"	0	19080	0	191	0
"YP_169187.1"	0	19091	0	202	0
"YP_169188.1"	0	19102	0	213	0
"YP_169189.1"	1	19113	1	224	1
"YP_169190.1"	0	19124	0	235	0
"YP_169191.1"	0	19128	0	239	0
"YP_169192.1"	0	19130	0	241	0
"YP_169193.1"	0	19139	0	250	0
"YP_169194.1"	0	19149	0	260	0
"YP_169195.1"	0	19160	0	271	0
"YP_169196.1"	0	19171	0	282	0
"YP_169197.1"	0	19182	0	293	0
"YP_169198.1"	0	88	0	5	0
"YP_169199.1"	0	19201	0	312	0
"YP_169200.1"	0	19212	0	323	0
"YP_169201.1"	0	19222	0	333	0
"YP_169202.1"	0	19234	0	345	0
"YP_169203.1"	0	92	0	9	0
"YP_169204.1"	0	19254	0	365	0
"YP_169205.1"	0	19265	0	376	0
"YP_169206.1"	0	19275	0	386	0
