"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"A0A0G2Q3K2"	0	1426	0	48	0
"A0A0H2XDD5"	0	1440	0	57	0
"A0A0H2XDD9"	0	43010	0	2208	0
"A0A0H2XDE4"	0	41356	0	554	0
"A0A0H2XDE9"	0	42236	0	1434	0
"A0A0H2XDF3"	0	42470	0	1668	0
"A0A0H2XDF9"	0	43257	0	2455	0
"A0A0H2XDG3"	0	43068	0	2266	0
"A0A0H2XDH0"	0	42125	0	1323	0
"A0A0H2XDH5"	0	41989	0	1187	0
"A0A0H2XDI1"	0	42246	0	1444	0
"A0A0H2XDI6"	0	41664	0	862	0
"A0A0H2XDJ1"	0	41882	0	1080	0
"A0A0H2XDJ7"	0	41523	0	721	0
"A0A0H2XDN2"	0	41723	0	921	0
"A0A0H2XDN5"	0	40893	0	91	0
"A0A0H2XDN8"	0	43162	0	2360	0
"A0A0H2XDP3"	0	40977	0	175	0
"A0A0H2XDP9"	0	41874	0	1072	0
"A0A0H2XDQ3"	0	41810	0	1008	0
"A0A0H2XDQ5"	1	43235	1	2433	1
"A0A0H2XDR0"	0	41849	0	1047	0
"A0A0H2XDR6"	0	41358	0	556	0
"A0A0H2XDS1"	0	43004	0	2202	0
"A0A0H2XDS6"	0	41111	0	309	0
"A0A0H2XDT0"	0	41064	0	262	0
"A0A0H2XDT4"	0	1456	0	66	0
"A0A0H2XDT8"	0	41741	0	939	0
"A0A0H2XDU2"	0	41456	0	654	0
"A0A0H2XDU3"	0	40899	0	97	0
"A0A0H2XDU5"	0	41234	0	432	0
"A0A0H2XDU9"	0	41413	0	611	0
"A0A0H2XDV0"	0	41475	0	673	0
"A0A0H2XDV3"	0	41273	0	471	0
"A0A0H2XDV5"	0	42303	0	1501	0
"A0A0H2XDV9"	0	41175	0	373	0
"A0A0H2XDW0"	0	42037	0	1235	0
"A0A0H2XDW3"	0	43271	0	2469	0
"A0A0H2XDW4"	0	43125	0	2323	0
"A0A0H2XDW5"	0	43229	0	2427	0
"A0A0H2XDW8"	0	42044	0	1242	0
"A0A0H2XDW9"	0	42083	0	1281	0
"A0A0H2XDX1"	0	43150	0	2348	0
"A0A0H2XDX3"	0	41476	0	674	0
"A0A0H2XDX4"	0	43043	0	2241	0
"A0A0H2XDX7"	0	43302	0	2500	0
"A0A0H2XDX8"	0	41905	0	1103	0
"A0A0H2XDX9"	0	41974	0	1172	0
"A0A0H2XDY2"	0	41250	0	448	0
"A0A0H2XDY3"	0	41611	0	809	0
"A0A0H2XDY4"	0	41952	0	1150	0
"A0A0H2XDY7"	0	41000	0	198	0
"A0A0H2XDY8"	0	41299	0	497	0
"A0A0H2XDZ0"	0	41434	0	632	0
"A0A0H2XDZ1"	0	41387	0	585	0
"A0A0H2XDZ4"	0	41162	0	360	0
"A0A0H2XDZ5"	0	42001	0	1199	0
"A0A0H2XDZ6"	0	40978	0	176	0
"A0A0H2XDZ9"	0	41101	0	299	0
"A0A0H2XE00"	0	43195	0	2393	0
"A0A0H2XE01"	0	41313	0	511	0
"A0A0H2XE04"	0	41999	0	1197	0
"A0A0H2XE05"	0	41825	0	1023	0
"A0A0H2XE07"	0	42068	0	1266	0
"A0A0H2XE09"	0	41880	0	1078	0
"A0A0H2XE11"	0	41365	0	563	0
"A0A0H2XE12"	0	42395	0	1593	0
"A0A0H2XE14"	0	41430	0	628	0
"A0A0H2XE16"	0	41666	0	864	0
"A0A0H2XE18"	0	42443	0	1641	0
"A0A0H2XE20"	0	43200	0	2398	0
"A0A0H2XE22"	0	41015	0	213	0
"A0A0H2XE24"	0	41103	0	301	0
"A0A0H2XE25"	0	42473	0	1671	0
"A0A0H2XE27"	0	1426	0	48	0
"A0A0H2XE30"	0	40930	0	128	0
"A0A0H2XE31"	0	41492	0	690	0
"A0A0H2XE34"	0	41074	0	272	0
"A0A0H2XE35"	0	42135	0	1333	0
"A0A0H2XE36"	0	43036	0	2234	0
"A0A0H2XE38"	0	1447	0	61	0
"A0A0H2XE39"	0	41272	0	470	0
"A0A0H2XE40"	0	1407	0	34	0
"A0A0H2XE41"	0	43110	0	2308	0
"A0A0H2XE42"	0	40994	0	192	0
"A0A0H2XE43"	0	42367	0	1565	0
"A0A0H2XE45"	0	42428	0	1626	0
"A0A0H2XE46"	0	41363	0	561	0
"A0A0H2XE48"	0	40923	0	121	0
"A0A0H2XE49"	0	40987	0	185	0
"A0A0H2XE50"	0	42221	0	1419	0
"A0A0H2XE52"	0	41494	0	692	0
"A0A0H2XE53"	0	40934	0	132	0
"A0A0H2XE54"	0	42255	0	1453	0
"A0A0H2XE56"	0	41972	0	1170	0
"A0A0H2XE57"	0	41821	0	1019	0
"A0A0H2XE58"	0	41337	0	535	0
"A0A0H2XE61"	0	41554	0	752	0
"A0A0H2XE62"	0	43136	0	2334	0
"A0A0H2XE63"	0	41082	0	280	0
"A0A0H2XE66"	0	42360	0	1558	0
"A0A0H2XE67"	0	41355	0	553	0
"A0A0H2XE68"	0	43278	0	2476	0
"A0A0H2XE71"	0	41498	0	696	0
"A0A0H2XE72"	0	1423	0	46	0
"A0A0H2XE73"	0	41033	0	231	0
"A0A0H2XE76"	0	41949	0	1147	0
"A0A0H2XE77"	0	41520	0	718	0
"A0A0H2XE79"	0	42525	0	1723	0
"A0A0H2XE82"	0	41099	0	297	0
"A0A0H2XE83"	0	41594	0	792	0
"A0A0H2XE84"	0	41729	0	927	0
"A0A0H2XE87"	0	40932	0	130	0
"A0A0H2XE88"	0	41959	0	1157	0
"A0A0H2XE89"	0	41347	0	545	0
"A0A0H2XE91"	0	42014	0	1212	0
"A0A0H2XE92"	0	42426	0	1624	0
"A0A0H2XE94"	0	1447	0	61	0
"A0A0H2XE96"	0	42242	0	1440	0
"A0A0H2XE97"	0	42184	0	1382	0
"A0A0H2XE99"	0	42144	0	1342	0
"A0A0H2XEA0"	0	41226	0	424	0
"A0A0H2XEA1"	0	40922	0	120	0
"A0A0H2XEA3"	0	42137	0	1335	0
"A0A0H2XEA4"	0	43239	0	2437	0
"A0A0H2XEA5"	0	42106	0	1304	0
"A0A0H2XEA7"	0	41283	0	481	0
"A0A0H2XEA8"	0	42510	0	1708	0
"A0A0H2XEB0"	0	43079	0	2277	0
"A0A0H2XEB1"	0	42349	0	1547	0
"A0A0H2XEB3"	0	41412	0	610	0
"A0A0H2XEB4"	0	42319	0	1517	0
"A0A0H2XEB5"	0	40914	0	112	0
"A0A0H2XEB7"	0	41399	0	597	0
"A0A0H2XEB8"	0	42266	0	1464	0
"A0A0H2XEB9"	0	41829	0	1027	0
"A0A0H2XEC0"	0	42352	0	1550	0
"A0A0H2XEC2"	0	41844	0	1042	0
"A0A0H2XEC3"	0	41726	0	924	0
"A0A0H2XEC4"	0	42160	0	1358	0
"A0A0H2XEC6"	0	43268	0	2466	0
"A0A0H2XEC7"	0	1457	0	67	0
"A0A0H2XEC8"	0	42036	0	1234	0
"A0A0H2XED0"	0	42568	0	1766	0
"A0A0H2XED1"	0	43018	0	2216	0
"A0A0H2XED3"	0	41481	0	679	0
"A0A0H2XED4"	0	42547	0	1745	0
"A0A0H2XED5"	0	42008	0	1206	0
"A0A0H2XED7"	0	40911	0	109	0
"A0A0H2XED8"	0	42475	0	1673	0
"A0A0H2XED9"	0	42012	0	1210	0
"A0A0H2XEE1"	0	41510	0	708	0
"A0A0H2XEE2"	0	41209	0	407	0
"A0A0H2XEE5"	0	42521	0	1719	0
"A0A0H2XEE6"	0	43189	0	2387	0
"A0A0H2XEE7"	0	41349	0	547	0
"A0A0H2XEF0"	0	41193	0	391	0
"A0A0H2XEF1"	0	41512	0	710	0
"A0A0H2XEF4"	0	41680	0	878	0
"A0A0H2XEF6"	0	41371	0	569	0
"A0A0H2XEF7"	0	43095	0	2293	0
"A0A0H2XEF9"	0	42418	0	1616	0
"A0A0H2XEG2"	0	42212	0	1410	0
"A0A0H2XEG3"	0	41979	0	1177	0
"A0A0H2XEG5"	0	41474	0	672	0
"A0A0H2XEG6"	0	43209	0	2407	0
"A0A0H2XEG8"	0	41667	0	865	0
"A0A0H2XEH0"	0	41740	0	938	0
"A0A0H2XEH2"	0	41692	0	890	0
"A0A0H2XEH4"	0	41247	0	445	0
"A0A0H2XEH6"	0	41852	0	1050	0
"A0A0H2XEH7"	0	42046	0	1244	0
"A0A0H2XEH9"	0	41884	0	1082	0
"A0A0H2XEI1"	0	41618	0	816	0
"A0A0H2XEI2"	0	43140	0	2338	0
"A0A0H2XEI4"	0	40985	0	183	0
"A0A0H2XEI5"	0	41340	0	538	0
"A0A0H2XEI7"	0	41614	0	812	0
"A0A0H2XEI9"	0	41310	0	508	0
"A0A0H2XEJ0"	0	41936	0	1134	0
"A0A0H2XEJ2"	0	41415	0	613	0
"A0A0H2XEJ4"	0	43134	0	2332	0
"A0A0H2XEJ5"	0	42226	0	1424	0
"A0A0H2XEJ7"	0	41861	0	1059	0
"A0A0H2XEJ9"	0	41255	0	453	0
"A0A0H2XEK0"	0	41581	0	779	0
"A0A0H2XEK2"	0	42530	0	1728	0
"A0A0H2XEK4"	0	41308	0	506	0
"A0A0H2XEK5"	0	41917	0	1115	0
"A0A0H2XEK8"	0	41329	0	527	0
"A0A0H2XEK9"	0	43296	0	2494	0
"A0A0H2XEL0"	0	40933	0	131	0
"A0A0H2XEL2"	0	41816	0	1014	0
