"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"NP_819020.1"	0	12779	0	38	0
"NP_819022.1"	0	13677	0	936	0
"NP_819024.1"	0	13783	0	1042	0
"NP_819025.1"	0	13890	0	1149	0
"NP_819027.1"	0	13997	0	1256	0
"NP_819028.1"	0	14103	0	1362	0
"NP_819029.1"	0	14209	0	1468	0
"NP_819030.1"	0	14320	0	1579	0
"NP_819031.1"	0	14428	0	1687	0
"NP_819032.1"	0	12780	0	39	0
"NP_819033.1"	0	12887	0	146	0
"NP_819034.1"	0	12995	0	254	0
"NP_819037.1"	0	2337	0	17	0
"NP_819038.1"	0	13210	0	469	0
"NP_819039.1"	0	13317	0	576	0
"NP_819040.1"	0	13424	0	683	0
"NP_819041.1"	0	13530	0	789	0
"NP_819042.1"	0	13622	0	881	0
"NP_819043.1"	0	13666	0	925	0
"NP_819044.1"	0	13678	0	937	0
"NP_819045.1"	0	13687	0	946	0
"NP_819047.1"	0	13697	0	956	0
"NP_819048.1"	0	13707	0	966	0
"NP_819049.1"	0	13718	0	977	0
"NP_819050.1"	0	13729	0	988	0
"NP_819051.1"	0	13740	0	999	0
"NP_819052.1"	0	13751	0	1010	0
"NP_819053.1"	0	13762	0	1021	0
"NP_819054.1"	0	13773	0	1032	0
"NP_819055.1"	0	13784	0	1043	0
"NP_819057.1"	0	13795	0	1054	0
"NP_819058.1"	0	13806	0	1065	0
"NP_819059.2"	0	13816	0	1075	0
"NP_819060.2"	0	13826	0	1085	0
"NP_819062.2"	0	2339	0	18	0
"NP_819063.1"	0	13847	0	1106	0
"NP_819064.1"	1	13857	1	1116	1
"NP_819065.1"	0	13868	0	1127	0
"NP_819066.1"	0	13879	0	1138	0
"NP_819067.1"	0	13891	0	1150	0
"NP_819070.1"	0	13902	0	1161	0
"NP_819071.2"	0	13912	0	1171	0
"NP_819072.1"	0	13923	0	1182	0
"NP_819073.1"	0	13934	0	1193	0
"NP_819074.1"	0	13944	0	1203	0
"NP_819075.1"	0	13954	0	1213	0
"NP_819076.2"	0	13965	0	1224	0
"NP_819077.1"	1	13975	1	1234	1
"NP_819078.1"	0	13986	0	1245	0
"NP_819079.2"	0	13998	0	1257	0
"NP_819080.1"	0	14009	0	1268	0
"NP_819081.1"	0	14020	0	1279	0
"NP_819082.1"	0	14031	0	1290	0
"NP_819083.1"	0	14042	0	1301	0
"NP_819084.2"	0	14053	0	1312	0
"NP_819085.1"	0	14063	0	1322	0
"NP_819086.1"	0	14073	0	1332	0
"NP_819087.1"	0	2340	0	19	0
"NP_819088.1"	0	14093	0	1352	0
"NP_819089.1"	0	14104	0	1363	0
"NP_819090.1"	0	14114	0	1373	0
"NP_819091.1"	0	14123	0	1382	0
"NP_819092.2"	0	14134	0	1393	0
"NP_819093.1"	0	14145	0	1404	0
"NP_819094.1"	0	14156	0	1415	0
"NP_819095.2"	0	2339	0	18	0
"NP_819096.1"	0	14176	0	1435	0
"NP_819097.2"	0	14187	0	1446	0
"NP_819098.1"	0	14198	0	1457	0
"NP_819099.2"	0	14210	0	1469	0
"NP_819100.1"	0	14221	0	1480	0
"NP_819101.2"	0	14232	0	1491	0
"NP_819102.1"	0	14243	0	1502	0
"NP_819103.1"	0	14254	0	1513	0
"NP_819104.2"	0	14265	0	1524	0
"NP_819106.1"	1	14276	1	1535	1
"NP_819107.1"	0	14287	0	1546	0
"NP_819108.1"	0	14298	0	1557	0
"NP_819109.1"	0	14309	0	1568	0
"NP_819110.1"	0	14321	0	1580	0
"NP_819111.1"	0	14332	0	1591	0
"NP_819115.1"	0	14342	0	1601	0
"NP_819116.2"	0	14353	0	1612	0
"NP_819117.2"	0	14364	0	1623	0
"NP_819118.1"	0	14375	0	1634	0
"NP_819119.1"	0	14386	0	1645	0
"NP_819120.1"	0	14396	0	1655	0
"NP_819121.1"	0	14406	0	1665	0
"NP_819125.1"	0	14417	0	1676	0
"NP_819126.2"	0	14429	0	1688	0
"NP_819127.1"	0	14439	0	1698	0
"NP_819128.1"	0	14448	0	1707	0
"NP_819129.2"	0	14458	0	1717	0
"NP_819130.1"	0	14469	0	1728	0
"NP_819134.1"	0	14480	0	1739	0
"NP_819136.2"	0	14491	0	1750	0
"NP_819137.1"	0	14502	0	1761	0
"NP_819138.1"	0	14512	0	1771	0
"NP_819139.1"	0	14522	0	1781	0
"NP_819140.2"	0	12781	0	40	0
"NP_819141.1"	0	12792	0	51	0
"NP_819142.2"	0	12803	0	62	0
"NP_819143.2"	0	12814	0	73	0
"NP_819144.2"	1	12825	1	84	1
"NP_819145.1"	0	12835	0	94	0
"NP_819146.1"	0	12845	0	104	0
"NP_819147.1"	0	12856	0	115	0
"NP_819148.1"	0	12866	0	125	0
"NP_819149.1"	0	12877	0	136	0
"NP_819150.1"	1	12888	1	147	1
"NP_819151.2"	0	12898	0	157	0
"NP_819152.1"	0	12909	0	168	0
"NP_819153.1"	0	12920	0	179	0
"NP_819154.2"	0	12930	0	189	0
"NP_819155.1"	0	12941	0	200	0
"NP_819156.1"	0	12951	0	210	0
"NP_819157.1"	0	12962	0	221	0
"NP_819158.2"	0	12973	0	232	0
"NP_819159.1"	1	12984	1	243	1
"NP_819160.2"	0	12996	0	255	0
"NP_819161.1"	0	13006	0	265	0
"NP_819162.1"	0	13016	0	275	0
"NP_819163.1"	0	13027	0	286	0
"NP_819164.1"	0	13037	0	296	0
"NP_819165.2"	0	13048	0	307	0
"NP_819166.1"	0	13059	0	318	0
"NP_819167.1"	0	13070	0	329	0
"NP_819168.2"	0	13080	0	339	0
"NP_819169.2"	0	13090	0	349	0
"NP_819171.1"	0	13101	0	360	0
"NP_819172.1"	0	13112	0	371	0
"NP_819173.1"	0	13123	0	382	0
"NP_819174.1"	0	13134	0	393	0
"NP_819175.1"	0	13145	0	404	0
"NP_819177.1"	0	13156	0	415	0
"NP_819180.2"	0	13167	0	426	0
"NP_819181.1"	0	13178	0	437	0
"NP_819182.1"	0	13189	0	448	0
"NP_819185.1"	0	13199	0	458	0
"NP_819186.1"	0	13211	0	470	0
"NP_819187.1"	0	13221	0	480	0
"NP_819188.1"	0	13232	0	491	0
"NP_819189.1"	0	13243	0	502	0
"NP_819190.2"	0	13253	0	512	0
"NP_819191.2"	0	13264	0	523	0
"NP_819192.1"	0	13275	0	534	0
"NP_819193.1"	0	2349	0	20	0
"NP_819196.2"	0	13295	0	554	0
"NP_819197.2"	1	13306	1	565	1
"NP_819198.1"	0	13318	0	577	0
"NP_819199.1"	0	2350	0	21	0
"NP_819200.2"	0	13339	0	598	0
"NP_819201.1"	0	13350	0	609	0
"NP_819202.1"	0	13361	0	620	0
"NP_819203.1"	0	13372	0	631	0
"NP_819204.1"	0	13382	0	641	0
"NP_819205.1"	0	13393	0	652	0
"NP_819206.1"	0	13402	0	661	0
"NP_819207.1"	0	13413	0	672	0
"NP_819208.1"	0	13425	0	684	0
"NP_819209.2"	0	13434	0	693	0
"NP_819211.1"	0	13445	0	704	0
"NP_819212.1"	0	13456	0	715	0
"NP_819213.1"	0	13467	0	726	0
"NP_819214.1"	0	13478	0	737	0
"NP_819219.1"	0	13488	0	747	0
"NP_819221.1"	0	13499	0	758	0
"NP_819222.1"	0	13509	0	768	0
"NP_819223.2"	0	13520	0	779	0
"NP_819224.1"	0	13531	0	790	0
"NP_819225.1"	0	13542	0	801	0
"NP_819226.2"	0	13552	0	811	0
"NP_819227.1"	0	13561	0	820	0
"NP_819228.1"	0	13572	0	831	0
"NP_819229.2"	0	13579	0	838	0
"NP_819230.1"	0	13587	0	846	0
"NP_819239.2"	0	13597	0	856	0
"NP_819240.1"	0	13605	0	864	0
"NP_819241.1"	0	13614	0	873	0
"NP_819242.1"	0	13623	0	882	0
"NP_819243.1"	0	13627	0	886	0
"NP_819244.1"	0	13634	0	893	0
"NP_819245.1"	0	13637	0	896	0
"NP_819246.2"	0	13647	0	906	0
"NP_819247.1"	1	13657	1	916	1
"NP_819251.2"	0	13662	0	921	0
"NP_819252.1"	0	13663	0	922	0
"NP_819253.2"	0	13664	0	923	0
"NP_819254.1"	0	13665	0	924	0
"NP_819255.1"	0	13667	0	926	0
"NP_819258.1"	0	13668	0	927	0
"NP_819259.1"	0	13669	0	928	0
"NP_819260.2"	0	13670	0	929	0
"NP_819263.1"	0	13671	0	930	0
"NP_819264.1"	0	13672	0	931	0
"NP_819265.1"	0	13673	0	932	0
"NP_819268.1"	0	13674	0	933	0
"NP_819269.2"	1	13675	1	934	1
"NP_819270.1"	0	13676	0	935	0
"NP_819271.1"	0	13679	0	938	0
"NP_819272.1"	0	13680	0	939	0
"NP_819273.1"	1	13681	1	940	1
"NP_819274.1"	0	13682	0	941	0
"NP_819275.2"	1	13683	1	942	1
"NP_819276.1"	0	13684	0	943	0
"NP_819277.2"	0	94	0	9	0
"NP_819278.1"	0	13685	0	944	0
"NP_819279.1"	0	13686	0	945	0
"NP_819280.1"	0	92	0	8	0
"NP_819281.2"	0	95	0	10	0
"NP_819282.1"	0	13688	0	947	0
"NP_819283.2"	0	13689	0	948	0
"NP_819284.1"	0	13690	0	949	0
"NP_819285.1"	0	13691	0	950	0
"NP_819286.1"	0	13692	0	951	0
"NP_819287.1"	0	13693	0	952	0
"NP_819288.1"	0	13694	0	953	0
"NP_819289.1"	0	13695	0	954	0
"NP_819290.1"	0	13696	0	955	0
"NP_819291.2"	0	13698	0	957	0
"NP_819292.1"	0	11	0	2	0
"NP_819293.1"	0	13699	0	958	0
"NP_819294.1"	0	13700	0	959	0
"NP_819295.1"	0	13701	0	960	0
"NP_819296.2"	0	13702	0	961	0
"NP_819297.1"	0	13703	0	962	0
"NP_819298.1"	0	13704	0	963	0
"NP_819299.1"	0	13705	0	964	0
"NP_819300.1"	0	13706	0	965	0
"NP_819301.1"	0	13708	0	967	0
