"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"NP_710182.1"	0	27323	0	30	0
"NP_710183.1"	0	28405	0	1112	0
"NP_710184.1"	0	29459	0	2166	0
"NP_710185.1"	0	30216	0	2923	0
"NP_710186.1"	0	30319	0	3026	0
"NP_710187.1"	0	30425	0	3132	0
"NP_710188.1"	0	30530	0	3237	0
"NP_710189.2"	0	30636	0	3343	0
"NP_710190.1"	0	30744	0	3451	0
"NP_710191.2"	0	27324	0	31	0
"NP_710192.1"	1	27432	1	139	1
"NP_710193.2"	0	27539	0	246	0
"NP_710194.1"	0	27650	0	357	0
"NP_710195.1"	0	27753	0	460	0
"NP_710197.1"	0	27858	0	565	0
"NP_710198.1"	0	27968	0	675	0
"NP_710199.2"	0	28079	0	786	0
"NP_710200.1"	0	28188	0	895	0
"NP_710201.1"	0	28299	0	1006	0
"NP_710202.1"	0	28406	0	1113	0
"NP_710203.1"	0	28515	0	1222	0
"NP_710205.2"	0	28621	0	1328	0
"NP_710207.1"	0	28729	0	1436	0
"NP_710208.1"	0	28835	0	1542	0
"NP_710210.1"	0	28938	0	1645	0
"NP_710211.2"	0	29038	0	1745	0
"NP_710212.1"	0	29138	0	1845	0
"NP_710213.1"	0	29246	0	1953	0
"NP_710214.1"	0	29353	0	2060	0
"NP_710215.1"	0	29460	0	2167	0
"NP_710216.1"	0	29565	0	2272	0
"NP_710218.1"	0	29675	0	2382	0
"NP_710219.1"	0	29785	0	2492	0
"NP_710220.2"	0	29892	0	2599	0
"NP_710221.1"	0	29997	0	2704	0
"NP_710222.2"	0	30099	0	2806	0
"NP_710223.1"	0	30185	0	2892	0
"NP_710224.1"	0	30195	0	2902	0
"NP_710226.1"	0	30206	0	2913	0
"NP_710227.1"	0	30217	0	2924	0
"NP_710228.1"	0	30227	0	2934	0
"NP_710229.1"	0	30238	0	2945	0
"NP_710230.1"	0	30249	0	2956	0
"NP_710231.1"	0	30260	0	2967	0
"NP_710232.1"	0	30270	0	2977	0
"NP_710233.1"	0	30281	0	2988	0
"NP_710234.1"	0	30288	0	2995	0
"NP_710235.1"	0	30299	0	3006	0
"NP_710236.1"	0	30309	0	3016	0
"NP_710237.1"	0	30320	0	3027	0
"NP_710238.1"	0	30331	0	3038	0
"NP_710240.2"	0	30342	0	3049	0
"NP_710241.1"	0	30353	0	3060	0
"NP_710242.1"	0	30364	0	3071	0
"NP_710243.1"	0	30374	0	3081	0
"NP_710244.2"	0	30383	0	3090	0
"NP_710245.1"	0	30393	0	3100	0
"NP_710246.2"	0	30404	0	3111	0
"NP_710247.2"	0	30415	0	3122	0
"NP_710248.1"	0	30426	0	3133	0
"NP_710249.1"	0	30435	0	3142	0
"NP_710251.2"	0	30446	0	3153	0
"NP_710252.2"	0	30456	0	3163	0
"NP_710253.1"	0	30467	0	3174	0
"NP_710254.1"	0	30478	0	3185	0
"NP_710255.2"	0	30487	0	3194	0
"NP_710256.2"	0	30497	0	3204	0
"NP_710257.2"	0	30508	0	3215	0
"NP_710258.1"	0	30519	0	3226	0
"NP_710259.2"	0	30531	0	3238	0
"NP_710262.1"	0	30542	0	3249	0
"NP_710263.1"	0	30552	0	3259	0
