"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"TGME49_200010"	0	44983	0	178	0
"TGME49_200110"	0	52551	0	7750	0
"TGME49_200130"	0	2376	0	155	0
"TGME49_200230"	0	2286	0	71	0
"TGME49_200240"	0	2286	0	71	0
"TGME49_200250"	0	2286	0	71	0
"TGME49_200260"	0	52553	0	7752	0
"TGME49_200270"	0	2286	0	71	0
"TGME49_200280"	0	47152	0	2348	0
"TGME49_200290"	0	48231	0	3427	0
"TGME49_200295"	0	49313	0	4510	0
"TGME49_200300"	0	50402	0	5599	0
"TGME49_200310"	0	51478	0	6676	0
"TGME49_200320"	0	52546	0	7745	0
"TGME49_200330"	0	52844	0	8043	0
"TGME49_200340"	0	44984	0	179	0
"TGME49_200350"	0	45092	0	287	0
"TGME49_200360"	0	45203	0	398	0
"TGME49_200370"	0	45311	0	506	0
"TGME49_200375"	0	52554	0	7753	0
"TGME49_200385"	0	45418	0	613	0
"TGME49_200400"	0	45523	0	718	0
"TGME49_200410"	0	45633	0	828	0
"TGME49_200430"	0	45742	0	937	0
"TGME49_200440"	0	45852	0	1047	0
"TGME49_200450"	0	45960	0	1155	0
"TGME49_200460"	0	46070	0	1265	0
"TGME49_200470"	0	46180	0	1375	0
"TGME49_200480"	0	46288	0	1483	0
"TGME49_200590"	0	46398	0	1593	0
"TGME49_200595"	0	46509	0	1704	0
"TGME49_200600"	0	46619	0	1814	0
"TGME49_200700"	0	2376	0	155	0
"TGME49_201100"	0	2287	0	72	0
"TGME49_201110"	0	46832	0	2027	0
"TGME49_201120"	0	46938	0	2134	0
"TGME49_201130"	0	47048	0	2244	0
"TGME49_201140"	0	47153	0	2349	0
"TGME49_201150"	0	47259	0	2455	0
"TGME49_201160"	0	47368	0	2564	0
"TGME49_201170"	0	47478	0	2674	0
"TGME49_201180"	0	47588	0	2784	0
"TGME49_201190"	0	47695	0	2891	0
"TGME49_201200"	0	47799	0	2995	0
"TGME49_201210"	0	47905	0	3101	0
"TGME49_201215"	0	52555	0	7754	0
"TGME49_201220"	0	48013	0	3209	0
"TGME49_201230"	0	48124	0	3320	0
"TGME49_201240"	0	48232	0	3428	0
"TGME49_201250"	0	48340	0	3536	0
"TGME49_201260"	0	48449	0	3645	0
"TGME49_201270"	0	48558	0	3754	0
"TGME49_201380"	0	48663	0	3859	0
"TGME49_201390"	0	48772	0	3969	0
"TGME49_201400"	0	48881	0	4078	0
"TGME49_201520"	0	2288	0	73	0
"TGME49_201630"	0	2288	0	73	0
"TGME49_201640"	0	49202	0	4399	0
"TGME49_201650"	0	49314	0	4511	0
"TGME49_201660"	0	49423	0	4620	0
"TGME49_201670"	0	49533	0	4730	0
"TGME49_201680"	0	49642	0	4839	0
"TGME49_201690"	0	49751	0	4948	0
"TGME49_201700"	0	49860	0	5057	0
"TGME49_201710"	0	49964	0	5161	0
"TGME49_201720"	0	50074	0	5271	0
"TGME49_201730"	0	50185	0	5382	0
"TGME49_201740"	0	50293	0	5490	0
"TGME49_201750"	0	50403	0	5600	0
"TGME49_201760"	0	50509	0	5706	0
"TGME49_201770"	0	50619	0	5816	0
"TGME49_201775"	0	50726	0	5923	0
"TGME49_201780"	0	50835	0	6032	0
"TGME49_201785"	0	50942	0	6139	0
"TGME49_201790"	0	51050	0	6247	0
"TGME49_201800"	0	51158	0	6356	0
"TGME49_201810"	0	51262	0	6460	0
"TGME49_201820"	0	51369	0	6567	0
"TGME49_201830"	0	51479	0	6677	0
"TGME49_201840"	0	51587	0	6785	0
"TGME49_201850"	0	51692	0	6890	0
"TGME49_201860"	0	51801	0	6999	0
"TGME49_201870"	0	51908	0	7106	0
"TGME49_201880"	0	52018	0	7217	0
"TGME49_201890"	0	52128	0	7327	0
"TGME49_201895"	0	52238	0	7437	0
"TGME49_201900"	0	52345	0	7544	0
"TGME49_202010"	0	52452	0	7651	0
"TGME49_202020"	0	52547	0	7746	0
"TGME49_202025"	0	52624	0	7823	0
"TGME49_202030"	0	52711	0	7910	0
"TGME49_202040"	0	52759	0	7958	0
"TGME49_202050"	0	52778	0	7977	0
"TGME49_202060"	0	52556	0	7755	0
"TGME49_202065"	0	52789	0	7988	0
"TGME49_202070"	0	52800	0	7999	0
"TGME49_202080"	0	52811	0	8010	0
"TGME49_202090"	0	52833	0	8032	0
"TGME49_202100"	0	52822	0	8021	0
"TGME49_202110"	0	52845	0	8044	0
"TGME49_202120"	0	52855	0	8054	0
"TGME49_202140"	0	52866	0	8065	0
"TGME49_202160"	0	52877	0	8076	0
"TGME49_202170"	0	52888	0	8087	0
"TGME49_202180"	0	52899	0	8098	0
"TGME49_202190"	0	52910	0	8109	0
"TGME49_202200"	0	52921	0	8120	0
"TGME49_202205"	0	52932	0	8131	0
"TGME49_202210"	0	52943	0	8142	0
