"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"D0B707"	0	11824	0	2200	0
"D0BAF4"	0	1450	0	19	0
"F8WJN8"	0	10153	0	529	0
"F8WJN9"	0	9784	0	160	0
"F8WJP0"	0	10377	0	753	0
"F8WJP1"	0	10004	0	380	0
"F8WJP2"	0	12640	0	3016	0
"F8WJP3"	0	10284	0	660	0
"F8WJP4"	0	9821	0	197	0
"F8WJP5"	0	10297	0	673	0
"F8WJP6"	0	10293	0	669	0
"F8WJP7"	0	10151	0	527	0
"F8WJP8"	0	12576	0	2952	0
"F8WJW9"	0	10106	0	482	0
"F8WJX0"	0	12760	0	3136	0
"F8WJX1"	0	10471	0	847	0
"F8WJX2"	1	10546	1	922	1
"F8WJX3"	0	10465	0	841	0
"F8WJX4"	0	10003	0	379	0
"F8WJX5"	0	10164	0	540	0
"F8WJX6"	0	9856	0	232	0
"F8WJX7"	0	9669	0	45	0
"F8WJX8"	0	12763	0	3139	0
"F8WJX9"	0	11387	0	1763	0
"P0A2X9"	0	10748	0	1124	0
"P0A326"	0	12204	0	2580	0
"P0A342"	0	12259	0	2635	0
"P0A3D6"	0	10265	0	641	0
"P0A3G7"	0	10276	0	652	0
"P0A3K8"	0	10518	0	894	0
"P0A3N8"	0	11729	0	2105	0
"P0A3P1"	0	11750	0	2126	0
"P0A3P4"	0	10998	0	1374	0
"P0A3Q2"	0	11086	0	1462	0
"P0A3S7"	1	11740	1	2116	1
"P0A3T2"	0	12086	0	2462	0
"P0A3U4"	0	11717	0	2093	0
"P0A3U8"	1	12172	1	2548	1
"P0A468"	0	12095	0	2471	0
"P0A4D9"	0	12101	0	2477	0
"P0A4Q1"	0	12297	0	2673	0
"P0A4R0"	0	12300	0	2676	0
"P0A4S7"	0	10804	0	1180	0
"P0C537"	0	12240	0	2616	0
"P49944"	0	12128	0	2504	0
"P52558"	0	12037	0	2413	0
"P52559"	0	12038	0	2414	0
"P61712"	0	12062	0	2438	0
"P62921"	0	10045	0	421	0
"P62923"	0	10496	0	872	0
"P63353"	0	12503	0	2879	0
"P63361"	0	12021	0	2397	0
"P63437"	0	12336	0	2712	0
"P63450"	0	12225	0	2601	0
"P63464"	0	12116	0	2492	0
"P63542"	0	10200	0	576	0
"P63566"	0	10639	0	1015	0
"P63607"	0	11292	0	1668	0
"P63615"	0	11185	0	1561	0
"P63631"	0	11380	0	1756	0
"P63646"	0	11728	0	2104	0
"P63660"	0	12054	0	2430	0
"P63808"	0	12325	0	2701	0
"P63814"	0	12337	0	2713	0
"P63824"	0	12348	0	2724	0
"P63850"	0	10254	0	630	0
"P63913"	0	12646	0	3022	0
"P63919"	0	12635	0	3011	0
"P63933"	0	12680	0	3056	0
"P64004"	0	12768	0	3144	0
"P64024"	0	92	0	3	0
"P64048"	0	9684	0	60	0
"P64066"	0	9705	0	81	0
"P64103"	0	9772	0	148	0
"P64132"	0	9903	0	279	0
"P64186"	0	10167	0	543	0
"P64197"	0	10002	0	378	0
"P64203"	0	10012	0	388	0
"P64211"	0	10034	0	410	0
"P64232"	0	12194	0	2570	0
"P64255"	0	11250	0	1626	0
"P64271"	0	10189	0	565	0
"P64305"	0	11588	0	1964	0
"P64351"	0	10298	0	674	0
"P64366"	0	10353	0	729	0
"P64377"	0	10386	0	762	0
"P64390"	0	10530	0	906	0
"P64396"	0	10420	0	796	0
"P65217"	0	10682	0	1058	0
"P65275"	0	10782	0	1158	0
"P65281"	0	10826	0	1202	0
"P65320"	0	10976	0	1352	0
"P65325"	0	11009	0	1385	0
"P65361"	0	11141	0	1517	0
"P65396"	0	11218	0	1594	0
"P65427"	0	12138	0	2514	0
"P65447"	0	11281	0	1657	0
"P65452"	0	11315	0	1691	0
"P65468"	0	11337	0	1713	0
"P65489"	0	11391	0	1767	0
"P65544"	0	11186	0	1562	0
"P65546"	0	11566	0	1942	0
"P65611"	0	12041	0	2417	0
"P65654"	0	11792	0	2168	0
"P65680"	0	11859	0	2235	0
"P65722"	0	11913	0	2289	0
"P65744"	0	10574	0	950	0
"P65790"	0	11999	0	2375	0
"P65863"	0	12031	0	2407	0
"P65878"	0	12036	0	2412	0
"P65910"	0	12044	0	2420	0
"P65948"	0	12048	0	2424	0
"P65955"	0	12291	0	2667	0
"P65975"	0	12052	0	2428	0
"P66078"	0	12071	0	2447	0
"P66101"	0	12073	0	2449	0
"P66140"	0	12081	0	2457	0
"P66164"	0	12082	0	2458	0
"P66183"	0	12085	0	2461	0
"P66205"	0	12087	0	2463	0
"P66215"	0	12088	0	2464	0
"P66242"	0	191	0	11	0
"P66265"	0	12089	0	2465	0
"P66286"	0	12090	0	2466	0
"P66324"	0	12113	0	2489	0
"P66350"	0	12114	0	2490	0
"P66381"	0	12115	0	2491	0
"P66399"	0	12118	0	2494	0
"P66433"	0	12120	0	2496	0
"P66453"	0	12122	0	2498	0
"P66489"	0	12123	0	2499	0
"P66501"	0	12124	0	2500	0
"P66514"	0	12125	0	2501	0
"P66570"	0	12130	0	2506	0
"P66651"	0	12058	0	2434	0
"P66664"	0	12100	0	2476	0
"P66673"	0	12102	0	2478	0
"P66742"	0	12140	0	2516	0
"P66826"	0	12149	0	2525	0
