"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"NP_214515.1"	0	192	0	3	0
"NP_214516.1"	0	193	0	4	0
"NP_214517.1"	0	194	0	5	0
"NP_214518.1"	0	195	0	6	0
"NP_214519.2"	0	196	0	7	0
"NP_214520.1"	0	197	0	8	0
"NP_214521.1"	0	33538	0	3380	0
"NP_214522.1"	0	33537	0	3379	0
"NP_214523.1"	0	199	0	9	0
"NP_214524.1"	0	33535	0	3377	0
"NP_214525.1"	0	200	0	10	0
"NP_214526.1"	0	33534	0	3376	0
"NP_214528.1"	0	202	0	12	0
"NP_214529.1"	0	203	0	13	0
"NP_214530.1"	0	204	0	14	0
"NP_214531.1"	0	205	0	15	0
"NP_214532.1"	0	206	0	16	0
"NP_214533.1"	0	207	0	17	0
"NP_214534.1"	0	33532	0	3374	0
"NP_214535.1"	0	33531	0	3373	0
"NP_214536.1"	0	33530	0	3372	0
"NP_214537.1"	0	33529	0	3371	0
"NP_214538.1"	0	33528	0	3370	0
"NP_214539.1"	0	33527	0	3369	0
"NP_214540.1"	0	33526	0	3368	0
"NP_214541.1"	0	33525	0	3367	0
"NP_214542.1"	0	33524	0	3366	0
"NP_214543.1"	0	33523	0	3365	0
"NP_214544.1"	0	33521	0	3363	0
"NP_214546.1"	0	33520	0	3362	0
"NP_214547.1"	0	33519	0	3361	0
"NP_214548.1"	0	33518	0	3360	0
"NP_214550.1"	0	33517	0	3359	0
"NP_214551.1"	0	33516	0	3358	0
"NP_214552.1"	0	208	0	18	0
"NP_214553.1"	0	33515	0	3357	0
"NP_214554.2"	1	33681	1	3523	1
"NP_214555.1"	0	209	0	19	0
"NP_214556.1"	0	1306	0	1108	0
"NP_214557.1"	0	33513	0	3355	0
"NP_214558.1"	0	33512	0	3354	0
"NP_214559.1"	0	33511	0	3353	0
"NP_214560.1"	0	365	0	173	0
"NP_214561.1"	0	1305	0	1107	0
"NP_214562.1"	0	33510	0	3352	0
"NP_214563.1"	0	1304	0	1106	0
"NP_214565.1"	0	1302	0	1104	0
"NP_214566.3"	0	31442	0	1280	0
"NP_214567.1"	0	1301	0	1103	0
"NP_214568.1"	0	1300	0	1102	0
"NP_214570.1"	0	1298	0	1100	0
"NP_214571.1"	0	33508	0	3350	0
"NP_214572.1"	0	33507	0	3349	0
"NP_214573.1"	0	33506	0	3348	0
"NP_214574.1"	0	33505	0	3347	0
"NP_214577.1"	0	33504	0	3346	0
"NP_214578.1"	0	33503	0	3345	0
"NP_214579.1"	0	33502	0	3344	0
"NP_214580.1"	1	1296	1	1098	1
"NP_214581.1"	0	33501	0	3343	0
"NP_214582.1"	0	33499	0	3341	0
"NP_214583.1"	0	33498	0	3340	0
"NP_214584.1"	0	33497	0	3339	0
"NP_214585.1"	0	33496	0	3338	0
"NP_214586.1"	0	1350	0	1149	0
"NP_214587.1"	0	1349	0	1148	0
"NP_214588.1"	0	33495	0	3337	0
"NP_214589.1"	0	33494	0	3336	0
"NP_214590.1"	0	33493	0	3335	0
"NP_214591.1"	0	33492	0	3334	0
"NP_214592.1"	0	33490	0	3332	0
"NP_214593.1"	0	33489	0	3331	0
"NP_214594.1"	0	33488	0	3330	0
"NP_214595.1"	0	33487	0	3329	0
"NP_214596.2"	0	31435	0	1273	0
"NP_214597.1"	0	33486	0	3328	0
"NP_214598.1"	0	33485	0	3327	0
"NP_214599.1"	0	33484	0	3326	0
"NP_214600.1"	0	33483	0	3325	0
"NP_214601.1"	0	33482	0	3324	0
"NP_214602.1"	0	33481	0	3323	0
"NP_214603.1"	0	33479	0	3321	0
"NP_214604.1"	0	33478	0	3320	0
"NP_214605.1"	0	33477	0	3319	0
"NP_214606.1"	0	1057	0	858	0
"NP_214607.1"	0	33476	0	3318	0
"NP_214608.1"	0	1330	0	1131	0
"NP_214609.1"	0	1339	0	1140	0
"NP_214611.1"	0	1058	0	859	0
"NP_214612.1"	0	33475	0	3317	0
"NP_214613.1"	0	33474	0	3316	0
"NP_214614.1"	0	33472	0	3314	0
"NP_214615.1"	0	33471	0	3313	0
"NP_214616.1"	0	33470	0	3312	0
"NP_214617.1"	0	1059	0	860	0
"NP_214618.1"	0	33469	0	3311	0
"NP_214620.1"	0	33468	0	3310	0
"NP_214621.1"	0	1295	0	1097	0
"NP_214622.1"	0	33467	0	3309	0
"NP_214624.1"	0	33466	0	3308	0
"NP_214625.1"	0	1294	0	1096	0
"NP_214626.1"	0	33464	0	3306	0
"NP_214627.1"	0	33463	0	3305	0
"NP_214628.1"	0	33462	0	3304	0
"NP_214629.1"	0	33461	0	3303	0
"NP_214630.1"	0	1293	0	1095	0
"NP_214631.1"	0	1292	0	1094	0
"NP_214632.1"	0	33460	0	3302	0
"NP_214633.1"	0	33459	0	3301	0
"NP_214634.1"	0	33458	0	3300	0
"NP_214635.1"	0	33457	0	3299	0
"NP_214636.1"	0	33455	0	3297	0
"NP_214637.1"	0	33454	0	3296	0
"NP_214639.1"	1	33453	1	3295	1
"NP_214640.1"	0	33452	0	3294	0
"NP_214641.1"	0	33451	0	3293	0
"NP_214642.1"	0	33450	0	3292	0
"NP_214644.1"	0	33449	0	3291	0
"NP_214645.1"	0	33448	0	3290	0
"NP_214646.1"	0	33447	0	3289	0
"NP_214647.1"	0	33446	0	3288	0
"NP_214648.1"	0	33444	0	3286	0
"NP_214649.1"	0	33443	0	3285	0
"NP_214650.1"	0	33442	0	3284	0
"NP_214651.1"	0	1290	0	1092	0
"NP_214652.1"	0	33441	0	3283	0
"NP_214653.1"	0	33440	0	3282	0
"NP_214654.1"	0	33439	0	3281	0
"NP_214655.1"	0	33438	0	3280	0
"NP_214656.1"	0	33437	0	3279	0
"NP_214657.1"	0	33436	0	3278	0
"NP_214658.1"	0	33435	0	3277	0
"NP_214659.1"	0	33434	0	3276	0
"NP_214660.1"	0	1289	0	1091	0
"NP_214661.1"	0	1288	0	1090	0
"NP_214662.1"	0	33433	0	3275	0
"NP_214663.1"	0	33432	0	3274	0
"NP_214664.1"	0	33431	0	3273	0
"NP_214667.1"	0	33430	0	3272	0
"NP_214668.1"	0	33429	0	3271	0
"NP_214669.1"	0	1287	0	1089	0
"NP_214670.1"	0	1286	0	1088	0
"NP_214671.1"	0	1285	0	1087	0
"NP_214672.1"	0	33428	0	3270	0
"NP_214675.1"	0	1284	0	1086	0
"NP_214677.1"	0	33427	0	3269	0
"NP_214680.1"	0	33426	0	3268	0
"NP_214681.1"	0	1267	0	1069	0
"NP_214682.1"	0	1268	0	1070	0
"NP_214684.1"	0	1269	0	1071	0
"NP_214685.1"	0	33425	0	3267	0
"NP_214686.1"	0	1270	0	1072	0
"NP_214687.1"	0	1271	0	1073	0
"NP_214688.1"	0	1272	0	1074	0
"NP_214689.3"	0	31420	0	1258	0
"NP_214690.1"	0	33423	0	3265	0
"NP_214691.1"	0	33422	0	3264	0
"NP_214692.1"	0	1273	0	1075	0
"NP_214693.1"	0	33421	0	3263	0
"NP_214694.1"	0	1274	0	1076	0
"NP_214695.1"	0	33420	0	3262	0
"NP_214696.1"	0	33419	0	3261	0
"NP_214697.2"	0	33667	0	3509	0
"NP_214698.1"	0	1275	0	1077	0
"NP_214699.1"	0	1276	0	1078	0
"NP_214700.1"	0	33418	0	3260	0
"NP_214701.1"	0	33417	0	3259	0
"NP_214702.1"	0	33416	0	3258	0
"NP_214703.1"	0	1277	0	1079	0
"NP_214704.1"	0	1278	0	1080	0
"NP_214705.1"	0	33415	0	3257	0
"NP_214706.1"	0	33414	0	3256	0
"NP_214707.1"	0	33413	0	3255	0
"NP_214708.1"	0	33412	0	3254	0
"NP_214709.1"	0	33411	0	3253	0
"NP_214710.1"	0	33410	0	3252	0
"NP_214711.1"	0	33409	0	3251	0
"NP_214712.1"	0	1279	0	1081	0
"NP_214713.1"	0	33408	0	3250	0
"NP_214714.1"	0	33407	0	3249	0
"NP_214715.1"	0	33406	0	3248	0
"NP_214716.1"	0	33405	0	3247	0
"NP_214717.1"	0	33404	0	3246	0
"NP_214718.2"	0	1280	0	1082	0
"NP_214719.1"	0	33403	0	3245	0
"NP_214720.1"	0	1281	0	1083	0
"NP_214721.1"	0	33402	0	3244	0
"NP_214722.1"	0	33401	0	3243	0
"NP_214723.1"	0	33400	0	3242	0
"NP_214724.1"	0	33399	0	3241	0
"NP_214725.1"	0	1282	0	1084	0
"NP_214726.1"	0	33398	0	3240	0
"NP_214727.1"	0	33397	0	3239	0
"NP_214728.1"	0	33396	0	3238	0
"NP_214730.1"	0	33394	0	3236	0
"NP_214731.1"	0	33393	0	3235	0
"NP_214732.1"	0	33392	0	3234	0
"NP_214733.1"	0	33391	0	3233	0
"NP_214734.1"	1	33390	1	3232	1
"NP_214735.1"	0	33389	0	3231	0
"NP_214736.1"	0	33388	0	3230	0
"NP_214737.1"	0	33387	0	3229	0
"NP_214738.1"	0	1266	0	1068	0
"NP_214739.1"	0	1265	0	1067	0
"NP_214740.1"	0	33385	0	3227	0
"NP_214741.1"	0	1264	0	1066	0
"NP_214742.1"	0	1263	0	1065	0
"NP_214743.2"	0	32964	0	2806	0
"NP_214744.1"	0	33384	0	3226	0
"NP_214745.1"	0	33383	0	3225	0
"NP_214746.1"	0	33382	0	3224	0
"NP_214747.1"	0	33381	0	3223	0
"NP_214748.2"	0	33480	0	3322	0
"NP_214749.1"	0	33380	0	3222	0
"NP_214750.1"	0	1261	0	1063	0
"NP_214752.1"	0	1259	0	1061	0
"NP_214753.1"	0	33378	0	3220	0
"NP_214754.1"	0	33377	0	3219	0
"NP_214755.1"	0	1258	0	1060	0
"NP_214756.1"	0	1257	0	1059	0
"NP_214757.1"	0	1256	0	1058	0
"NP_214758.1"	0	1255	0	1057	0
"NP_214759.1"	0	1254	0	1056	0
"NP_214760.1"	0	33376	0	3218	0
"NP_214761.1"	0	33375	0	3217	0
"NP_214762.1"	0	33374	0	3216	0
"NP_214763.1"	0	33372	0	3214	0
"NP_214764.1"	0	33371	0	3213	0
"NP_214765.1"	1	33370	1	3212	1
"NP_214766.1"	0	33369	0	3211	0
"NP_214767.1"	0	33368	0	3210	0
"NP_214768.1"	0	33367	0	3209	0
"NP_214772.1"	0	33366	0	3208	0
"NP_214773.1"	0	33365	0	3207	0
"NP_214774.1"	0	33364	0	3206	0
"NP_214775.1"	0	33363	0	3205	0
"NP_214776.1"	0	1253	0	1055	0
"NP_214777.1"	0	1252	0	1054	0
"NP_214778.1"	0	1251	0	1053	0
"NP_214780.1"	0	33361	0	3203	0
"NP_214781.1"	0	33360	0	3202	0
"NP_214782.1"	0	33359	0	3201	0
"NP_214783.1"	0	33358	0	3200	0
"NP_214784.1"	0	1250	0	1052	0
"NP_214785.1"	0	33357	0	3199	0
"NP_214786.1"	0	33356	0	3198	0
"NP_214787.1"	0	33354	0	3196	0
"NP_214788.1"	0	33353	0	3195	0
"NP_214790.1"	0	33352	0	3194	0
"NP_214791.1"	0	1363	0	1160	0
"NP_214795.1"	0	33351	0	3193	0
"NP_214796.1"	0	1249	0	1051	0
"NP_214797.1"	0	33350	0	3192	0
"NP_214798.1"	0	1248	0	1050	0
"NP_214801.1"	1	1247	1	1049	1
"NP_214802.1"	1	1343	1	1143	1
"NP_214803.1"	0	1246	0	1048	0
"NP_214804.1"	0	1245	0	1047	0
"NP_214805.1"	0	33348	0	3190	0
"NP_214806.1"	0	33347	0	3189	0
"NP_214807.1"	0	33346	0	3188	0
