"protein"	"is_antigenic"	"similarity_cluster"	"in_antigenic_cluster"	"selfSimilarity_cluster"	"in_selfAntigenic_cluster"
"NP_059666.1"	0	33996	0	128	0
"NP_059667.1"	0	35073	0	1205	0
"NP_059668.1"	0	36139	0	2271	0
"XP_001347288.1"	0	2170	1	9	1
"XP_001347289.2"	0	2171	0	10	0
"XP_001347290.1"	0	38633	0	4766	0
"XP_001347291.1"	0	38744	0	4877	0
"XP_001347292.2"	0	38851	0	4984	0
"XP_001347293.1"	0	38954	0	5087	0
"XP_001347298.1"	0	33997	0	129	0
"XP_001347300.2"	0	34108	0	240	0
"XP_001347301.1"	0	34217	0	349	0
"XP_001347302.2"	0	34326	0	458	0
"XP_001347303.1"	0	34435	0	567	0
"XP_001347304.1"	0	34544	0	676	0
"XP_001347305.1"	0	34644	0	776	0
"XP_001347306.1"	0	34747	0	879	0
"XP_001347307.2"	0	34854	0	986	0
"XP_001347308.1"	0	34963	0	1095	0
"XP_001347309.1"	0	35074	0	1206	0
"XP_001347310.1"	0	35173	0	1305	0
"XP_001347311.1"	0	35282	0	1414	0
"XP_001347312.2"	0	35377	0	1509	0
"XP_001347313.1"	0	35488	0	1620	0
"XP_001347314.2"	0	35597	0	1729	0
"XP_001347315.1"	0	35705	0	1837	0
"XP_001347316.1"	0	35814	0	1946	0
"XP_001347317.1"	0	35921	0	2053	0
"XP_001347318.2"	0	36029	0	2161	0
"XP_001347319.2"	0	36140	0	2272	0
"XP_001347320.2"	0	36249	0	2381	0
"XP_001347321.1"	0	36356	0	2488	0
"XP_001347322.1"	0	36453	0	2585	0
"XP_001347323.1"	0	2172	0	11	0
"XP_001347324.1"	0	36654	0	2786	0
"XP_001347325.1"	0	36761	0	2893	0
"XP_001347326.1"	0	36855	0	2987	0
"XP_001347327.1"	0	36959	0	3091	0
"XP_001347328.1"	0	37059	0	3191	0
"XP_001347329.1"	0	37162	0	3294	0
"XP_001347330.1"	0	37269	0	3401	0
"XP_001347331.1"	0	37376	0	3508	0
"XP_001347332.1"	0	37483	0	3616	0
"XP_001347333.1"	0	37588	0	3721	0
"XP_001347334.2"	0	37691	0	3824	0
"XP_001347335.2"	0	37798	0	3931	0
"XP_001347336.1"	0	37898	0	4031	0
"XP_001347337.1"	0	37999	0	4132	0
"XP_001347338.1"	0	38109	0	4242	0
"XP_001347339.1"	0	38219	0	4352	0
"XP_001347340.1"	0	38315	0	4448	0
"XP_001347341.2"	0	38421	0	4554	0
"XP_001347342.1"	0	38531	0	4664	0
"XP_001347343.2"	0	38569	0	4702	0
"XP_001347344.1"	0	38579	0	4712	0
"XP_001347345.1"	0	38589	0	4722	0
"XP_001347346.1"	0	38600	0	4733	0
"XP_001347347.1"	0	38611	0	4744	0
"XP_001347348.1"	0	38622	0	4755	0
"XP_001347349.1"	0	38634	0	4767	0
"XP_001347350.1"	0	38645	0	4778	0
"XP_001347351.1"	0	38656	0	4789	0
"XP_001347352.2"	0	38667	0	4800	0
"XP_001347353.1"	0	38678	0	4811	0
"XP_001347354.2"	0	38689	0	4822	0
"XP_001347355.2"	0	38700	0	4833	0
